analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	p_adj_BH
all	Intercept	582	1.1964087826496306	0.6564880356320394	-0.09028412347061443	2.4831016887698754	0.0683885439108063	0.032139188152567444	0.29399297218622555
all	C(duplication_type)[T.TD]	582	0.1976110795852736	0.15105116718851802	-0.09844376792696005	0.49366592709750723	0.19079214186068627	0.032139188152567444	0.44769540174770256
all	C(duplication_type)[T.TRD]	582	-0.31239914383292156	0.27083544340531973	-0.8432268586442844	0.21842857097844126	0.24871966763761255	0.032139188152567444	0.44769540174770256
all	same_TAD_int	582	-0.20230616804897505	0.22779631935098024	-0.6487787497876809	0.2441664136897308	0.374486356240744	0.032139188152567444	0.5076589555400491
all	log10_distance	582	-0.08445473685646822	0.12465959190185821	-0.3287830473115713	0.15987357359863485	0.4980996413342397	0.032139188152567444	0.5977195696010876
all	Ks	582	-0.2221101014984449	0.07149901441552083	-0.3622455946829759	-0.08197460831391393	0.0018933051963559557	0.032139188152567444	0.0340794935344072
TD	Intercept	304	1.028166007342298	1.2083812132802192	-1.3402176502817453	3.3965496649663414	0.39484585430892716	0.015323911055802664	0.5076589555400491
TD	same_TAD_int	304	-0.4577022584453302	0.3959064035380092	-1.2336645506286092	0.31826003373794887	0.2476455604036597	0.015323911055802664	0.44769540174770256
TD	log10_distance	304	0.06919125916848703	0.298255663727821	-0.5153790999231315	0.6537616182601055	0.8165485731110791	0.015323911055802664	0.8645808421176132
TD	Ks	304	-0.23579020606882994	0.11284356528636633	-0.45695952991720223	-0.014620882220457682	0.03665988805892762	0.015323911055802664	0.21995932835356574
PD	Intercept	195	1.3958868679931715	1.3672150752993295	-1.2838054387137325	4.075579174700076	0.3072682044102444	0.012902803034892885	0.5028025163076726
PD	same_TAD_int	195	-0.016466972593212496	0.2905457502424625	-0.5859261789296086	0.5529922337431836	0.9548032879725151	0.012902803034892885	0.9548032879725151
PD	log10_distance	195	-0.1554131593232155	0.2612822311756721	-0.6675169222278013	0.3566906035813703	0.5519708011797164	0.012902803034892885	0.620967151327181
PD	Ks	195	-0.35670642243270656	0.2048732753017121	-0.7582506634188216	0.044837818553408515	0.08166471449617377	0.012902803034892885	0.29399297218622555
TRD	Intercept	83	0.9144486239529861	0.7810757416536926	-0.6164316988861631	2.4453289467921353	0.24169711921862114	0.04402436725844361	0.44769540174770256
TRD	same_TAD_int	83	0.24794455906368973	0.20078030911002062	-0.14557761559677002	0.6414667337241495	0.21686595240630102	0.04402436725844361	0.44769540174770256
TRD	log10_distance	83	-0.1006535616597411	0.11631643286973396	-0.3286295808945906	0.1273224575751084	0.38685078883130986	0.04402436725844361	0.5076589555400491
TRD	Ks	83	-0.11565875889308558	0.04966766124171074	-0.21300558612317455	-0.01831193166299659	0.01987744463477953	0.04402436725844361	0.17889700171301576
