loop_set	analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	note	p_adj_BH
primary	all	Intercept	1290	-0.27947370999264326	0.15987289110509378	-0.5928188186629211	0.0338713986776345	0.08044681149233544	0.53859043811211	cluster-robust SE by duplicate family	0.1608936229846709
primary	all	C(duplication_type)[T.TD]	1290	0.3491172642558207	0.17344531422021364	0.00917069509696905	0.6890638334146724	0.04413170825677475	0.53859043811211	cluster-robust SE by duplicate family	0.10973289620603452
primary	all	C(duplication_type)[T.TRD]	1290	-0.6994685312179156	0.16365796255505197	-1.0202322436090223	-0.378704818826809	1.9202652194631478e-05	0.53859043811211	cluster-robust SE by duplicate family	8.412590485267124e-05
primary	all	C(trajectory)[T.Neo(C)]	1290	-3.054269362447537	0.1862080586397496	-3.419230451012569	-2.689308273882505	1.8366254660960918e-60	0.53859043811211	cluster-robust SE by duplicate family	8.448477144042023e-59
primary	all	C(trajectory)[T.Neo(P)]	1290	2.7005800598514975	0.2812607924696495	2.14931903634779	3.251841083355205	7.864115622741668e-22	0.53859043811211	cluster-robust SE by duplicate family	7.234986372922334e-21
primary	all	C(trajectory)[T.Spe]	1290	-0.0937216091566829	0.14364405100642202	-0.3752587757227046	0.18781555740933878	0.5141062125639693	0.53859043811211	cluster-robust SE by duplicate family	0.6479146788477421
primary	all	capture_delta	1290	-0.11133670972218694	0.20561631659374632	-0.5143372848797152	0.29166386543534134	0.588178164656453	0.53859043811211	cluster-robust SE by duplicate family	0.6849955668520761
primary	all	capture_any	1290	0.029978412903316494	0.18668322428187728	-0.3359139832069763	0.39587080901360927	0.8724207452005976	0.53859043811211	cluster-robust SE by duplicate family	0.901828186050056
primary	all	delta_promoter_OCR	1290	0.476614314499207	0.20169458035739912	0.08130020112178488	0.871928427876629	0.01812523943325418	0.53859043811211	cluster-robust SE by duplicate family	0.05955435813783516
primary	all	delta_ATAC	1290	0.20159443703538996	0.15037546670758872	-0.0931360618698859	0.49632493594066585	0.1800480104553034	0.53859043811211	cluster-robust SE by duplicate family	0.3054917665459896
primary	all	delta_log_gene_length	1290	0.33996106475306104	0.08843968272291734	0.16662247181199377	0.5132996576941283	0.00012105100753524466	0.53859043811211	cluster-robust SE by duplicate family	0.0004640288622184379
primary	all	delta_GC	1290	0.04024800603792404	0.08965163933260879	-0.13546597820896372	0.21596199028481178	0.6534765566829736	0.53859043811211	cluster-robust SE by duplicate family	0.7422202866028835
primary	all	delta_gene_density	1290	0.11354654224176625	0.05724757012433144	0.0013433665956454482	0.22574971788788706	0.04731943013060301	0.53859043811211	cluster-robust SE by duplicate family	0.11456283084251255
primary	TRD	Intercept	780	-1.045444110983921	0.1304594011574041	-1.301139838697096	-0.7897483832707459	1.114357503601651e-15	0.45379710380830207	cluster-robust SE by duplicate family	7.864255043141809e-15
primary	TRD	C(trajectory)[T.Neo(C)]	780	-3.1498041265751535	0.22493685947286496	-3.590672269937516	-2.708935983212791	1.4930322615287993e-44	0.45379710380830207	cluster-robust SE by duplicate family	1.9622709722949934e-43
primary	TRD	C(trajectory)[T.Neo(P)]	780	3.2534465463095605	0.6541796139219302	1.97127806360226	4.535615029016861	6.581485200994483e-07	0.45379710380830207	cluster-robust SE by duplicate family	3.186824413113118e-06
primary	TRD	C(trajectory)[T.Spe]	780	-0.2809932034829191	0.20857345686108683	-0.6897896670616679	0.1278032600958297	0.17791113138491543	0.45379710380830207	cluster-robust SE by duplicate family	0.3054917665459896
primary	TRD	capture_delta	780	-0.25830494413998617	0.25177830709264243	-0.751781358130031	0.23517146985005866	0.30492827729400873	0.45379710380830207	cluster-robust SE by duplicate family	0.39511833114153244
primary	TRD	capture_any	780	0.0326011581585266	0.23566174041999743	-0.42928736559869546	0.49448968191574866	0.889972676466964	0.45379710380830207	cluster-robust SE by duplicate family	0.9097498470551187
primary	TRD	delta_promoter_OCR	780	0.42070980539171166	0.24283330208304088	-0.05523472093798376	0.8966543317214071	0.08318376427857031	0.45379710380830207	cluster-robust SE by duplicate family	0.16282779390698868
primary	TRD	delta_ATAC	780	0.1705498092666495	0.14622572204475714	-0.1160473395544391	0.4571469580877381	0.2434745175778289	0.45379710380830207	cluster-robust SE by duplicate family	0.35445838564639437
primary	TRD	delta_log_gene_length	780	0.1878390244296569	0.10200994336972648	-0.012096790639977484	0.38777483949929126	0.06556595631962978	0.45379710380830207	cluster-robust SE by duplicate family	0.14706353669788794
primary	TRD	delta_GC	780	-0.04550931792600699	0.11953544290786412	-0.2797944809014645	0.18877584504945052	0.7034123670651307	0.45379710380830207	cluster-robust SE by duplicate family	0.7613404443528473
primary	TRD	delta_gene_density	780	0.15654782805552653	0.07225645701155785	0.014927774662406496	0.2981678814486466	0.030268548469858533	0.45379710380830207	cluster-robust SE by duplicate family	0.08962439274349657
primary	TRD_peach_polarized	Intercept	774	-1.042046446287289	0.13017790744433533	-1.2971904564609749	-0.7869024361136031	1.1967344630867972e-15	0.45408526193082144	cluster-robust SE by duplicate family	7.864255043141809e-15
primary	TRD_peach_polarized	C(trajectory)[T.Neo(C)]	774	-3.146638424160417	0.22555617566746305	-3.588720404959234	-2.7045564433615996	3.1207764485500637e-44	0.45408526193082144	cluster-robust SE by duplicate family	3.588892915832573e-43
primary	TRD_peach_polarized	C(trajectory)[T.Neo(P)]	774	3.253773428901003	0.6561025178043228	1.9678361238384807	4.539710733963525	7.076750692240248e-07	0.45408526193082144	cluster-robust SE by duplicate family	3.255305318430514e-06
primary	TRD_peach_polarized	C(trajectory)[T.Spe]	774	-0.26943974543931337	0.20918554457477198	-0.6794358788922645	0.1405563880136378	0.19773137956457798	0.45408526193082144	cluster-robust SE by duplicate family	0.3191453845603715
primary	TRD_peach_polarized	capture_delta	774	-0.26400161543461936	0.2532948401771461	-0.7604503796516549	0.23244714878241607	0.2972865127445323	0.45408526193082144	cluster-robust SE by duplicate family	0.39071941674995675
primary	TRD_peach_polarized	capture_any	774	0.021353694980161556	0.23694547619323314	-0.4430509046582682	0.48575829461859127	0.9281912905263416	0.45408526193082144	cluster-robust SE by duplicate family	0.93839119481784
primary	TRD_peach_polarized	delta_promoter_OCR	774	0.424638588525204	0.24277436344301856	-0.05119042019274994	0.900467597243158	0.08027234749175906	0.45408526193082144	cluster-robust SE by duplicate family	0.1608936229846709
