loop_set	analysis_set	capture_state	n	n_pairs	fraction
primary	all_primary_pairs	neither	1054	1290	0.8170542635658915
primary	all_primary_pairs	both	31	1290	0.024031007751937984
primary	all_primary_pairs	child_only	102	1290	0.07906976744186046
primary	all_primary_pairs	parent_only	103	1290	0.07984496124031008
primary	TRD	neither	621	780	0.7961538461538461
primary	TRD	both	12	780	0.015384615384615385
primary	TRD	child_only	74	780	0.09487179487179487
primary	TRD	parent_only	73	780	0.09358974358974359
primary	TRD_peach_polarized	neither	616	774	0.7958656330749354
primary	TRD_peach_polarized	both	12	774	0.015503875968992248
primary	TRD_peach_polarized	child_only	73	774	0.09431524547803617
primary	TRD_peach_polarized	parent_only	73	774	0.09431524547803617
primary	TRD_multi_outgroup_polarized	neither	398	501	0.7944111776447106
primary	TRD_multi_outgroup_polarized	both	6	501	0.011976047904191617
primary	TRD_multi_outgroup_polarized	child_only	41	501	0.08183632734530938
primary	TRD_multi_outgroup_polarized	parent_only	56	501	0.11177644710578842
strict	all_primary_pairs	neither	1091	1290	0.8457364341085272
strict	all_primary_pairs	both	26	1290	0.020155038759689922
strict	all_primary_pairs	child_only	86	1290	0.06666666666666667
strict	all_primary_pairs	parent_only	87	1290	0.06744186046511629
strict	TRD	neither	641	780	0.8217948717948718
strict	TRD	both	11	780	0.014102564102564103
strict	TRD	child_only	65	780	0.08333333333333333
strict	TRD	parent_only	63	780	0.08076923076923077
strict	TRD_peach_polarized	neither	636	774	0.8217054263565892
strict	TRD_peach_polarized	both	11	774	0.014211886304909561
strict	TRD_peach_polarized	child_only	64	774	0.082687338501292
strict	TRD_peach_polarized	parent_only	63	774	0.08139534883720931
strict	TRD_multi_outgroup_polarized	neither	408	501	0.8143712574850299
strict	TRD_multi_outgroup_polarized	both	5	501	0.00998003992015968
strict	TRD_multi_outgroup_polarized	child_only	38	501	0.07584830339321358
strict	TRD_multi_outgroup_polarized	parent_only	50	501	0.0998003992015968
