duplication_type	metric	model	effect	ci_low	ci_high	pvalue	n	error	p_BH
TD	expression	ols					1526	ValueError('endog has evaluated to an array with multiple columns that has shape (1526, 2). This occurs when the variable converted to endog is non-numeric (e.g., bool or str).')	
TD	ATAC	ols	-0.20473165773747687	-0.24956257519001449	-0.15990074028493925	3.533363373864652e-19	1526		3.180027036478187e-18
TD	PC1	ols	0.001882104911036804	0.00016452344675416336	0.0035996863753194447	0.03173721911557419	1526		0.03570437150502097
TD	contact	ols	-0.10210806485615184	-0.14949932299049376	-0.05471680672180992	2.4118820429769415e-05	1526		0.00010853469193396237
TD	A_compartment	binomial	1.590334734617243	1.0561884239650643	2.3946149292522017	0.02629998505150444	1526		0.03155998206180533
TD	TAD_boundary	binomial	0.73107985758128	0.5718621899742702	0.9346268515935848	0.012438908736079366	1526		0.020354577931766236
TD	any_loop	binomial	0.698051944422426	0.5234401436354361	0.9309116296042178	0.014389517559469711	1526		0.021584276339204567
PD	expression	ols					1069	ValueError('endog has evaluated to an array with multiple columns that has shape (1069, 2). This occurs when the variable converted to endog is non-numeric (e.g., bool or str).')	
PD	ATAC	ols	-0.1785833625968498	-0.22957190326072074	-0.12759482193297883	6.6668451931512435e-12	1069		4.000107115890746e-11
PD	PC1	ols	0.0030653192517007327	0.0005626418262855959	0.005567996677115869	0.016368433865708614	1069		0.02266398535251962
PD	contact	ols	-0.08062903213740995	-0.13630970127225867	-0.024948363002561237	0.004537608799020102	1069		0.009021587482557134
PD	A_compartment	binomial	1.9706306026306173	1.3027984490665159	2.9808025752616167	0.0013148461272930601	1069		0.0033810328987535832
PD	TAD_boundary	binomial	0.9313229443169468	0.7064894141390134	1.2277076050293358	0.6137637206823976	1069		0.6137637206823976
PD	any_loop	binomial	0.6834953328997184	0.4895591230627514	0.9542583277236073	0.025420561717169096	1069		0.03155998206180533
TRD	expression	ols					1640	ValueError('endog has evaluated to an array with multiple columns that has shape (1640, 2). This occurs when the variable converted to endog is non-numeric (e.g., bool or str).')	
TRD	ATAC	ols	-0.42156578693891156	-0.501656196586749	-0.3414753772910741	5.933915481501018e-25	1640		1.0681047866701833e-23
TRD	PC1	ols	-0.007386321946023889	-0.011119056639711508	-0.003653587252336269	0.00010515884202929999	1640		0.00031547652608789994
TRD	contact	ols	-0.30756571358381457	-0.4602831941452668	-0.15484823302236234	7.904611605947409e-05	1640		0.0002845660178141067
TRD	A_compartment	binomial	0.43317121291432087	0.2414868555912592	0.7770083354568122	0.005011993045865075	1640		0.009021587482557134
TRD	TAD_boundary	binomial	0.5056530178051484	0.3191655242443826	0.8011046149824054	0.003677653032642036	1640		0.008274719323444582
TRD	any_loop	binomial	0.5614478440366372	0.3288390266282276	0.9585957141570286	0.034439162026825766	1640		0.03646499508722728
