duplication_type	sensitivity	outcome	n	families	effect_young_vs_old	effect_label	ci95_low	ci95_high	p_value	p_BH
TRD	all_annotated	log2_TPM_plus_1	2450	1118	-0.442532445053482	adjusted_beta	-0.6867473742482342	-0.1983175158587298	0.0003829327382356573	0.0005743991073534859
TRD	all_annotated	mean_ATAC_TSS_2kb	2450	1118	-0.37890886316944844	adjusted_beta	-0.44091952610462987	-0.316898200234267	4.739390830080051e-33	5.687268996096061e-32
TRD	all_annotated	PC1	2450	1118	-0.007881201420537335	adjusted_beta	-0.011760437590551568	-0.004001965250523101	6.83561303892368e-05	0.0001367122607784736
TRD	all_annotated	log2_contact_CPM_plus_1	2450	1118	-0.4474483658878949	adjusted_beta	-0.6282083045704533	-0.2666884272053365	1.224429088390242e-06	4.897716353560968e-06
TRD	all_annotated	compartment_A	2450	1118	0.550362307423736	adjusted_odds_ratio	0.343831945867459	0.8809497577910951	0.01284376985679033	0.015412523828148395
TRD	all_annotated	TAD_boundary	2450	1118	0.7285220560767539	adjusted_odds_ratio	0.5213399219688258	1.0180390256436902	0.06356130073376051	0.06356130073376051
TRD	complete_ORF_expressed	log2_TPM_plus_1	1581	962	-0.7409022850683543	adjusted_beta	-1.1244294351144752	-0.3573751350222333	0.00015291836880082304	0.0002621457750871252
TRD	complete_ORF_expressed	mean_ATAC_TSS_2kb	1581	962	-0.3987449840222594	adjusted_beta	-0.4812249783778293	-0.3162649896666895	2.658989860431187e-21	1.5953939162587123e-20
TRD	complete_ORF_expressed	PC1	1581	962	-0.010842610323001076	adjusted_beta	-0.015462435516190481	-0.006222785129811672	4.225217416012467e-06	1.26756522480374e-05
TRD	complete_ORF_expressed	log2_contact_CPM_plus_1	1581	962	-0.3564623040692158	adjusted_beta	-0.5290261461022141	-0.18389846203621749	5.151049790554933e-05	0.0001236251949733184
TRD	complete_ORF_expressed	compartment_A	1581	962	0.3584404585756108	adjusted_odds_ratio	0.17658070048024013	0.7275968551176485	0.004506708973729446	0.006008945298305928
TRD	complete_ORF_expressed	TAD_boundary	1581	962	0.5831031089261602	adjusted_odds_ratio	0.3513171752791155	0.9678127332352083	0.03693140715867902	0.04028880780946802
