duplication_type	feature	feature_type	young_n	old_n	young_fraction	old_fraction	effect	effect_label	ci95_low	ci95_high	p_value	p_BH
TD	gene_body_TE	binary_overlap	720	1514	0.7069444444444445	0.6624834874504624	1.227897394579963	odds_ratio_young_vs_old	1.0129225646093771	1.4884968153490608	0.0374400001802766	0.0748800003605532
TD	promoter_TE	binary_overlap	720	1514	0.9888888888888888	0.9564068692206076	3.848301488355093	odds_ratio_young_vs_old	1.8739956159440287	7.90259284454929	2.0924652327913767e-05	8.369860931165507e-05
TD	gene_body_TE_fraction	fractional_coverage	720	1514	0.19597354919832	0.0982958480569836	0.1192967488624687	rank_biserial_young_vs_old	0.06903041519888453	0.17014847534125943	3.4334255474376247e-06	2.060055328462575e-05
TD	promoter_TE_fraction	fractional_coverage	720	1514	0.4712499999999999	0.4257499999999999	0.0922978130045502	rank_biserial_young_vs_old	0.04409875880669306	0.14358659456186687	0.0004146457460679	0.000995149790563
PD	gene_body_TE	binary_overlap	654	1139	0.6743119266055045	0.6672519754170325	1.031918480846602	odds_ratio_young_vs_old	0.8409700520936015	1.2662231532047927	0.794265809647111	0.866471792342303
PD	promoter_TE	binary_overlap	654	1139	0.95565749235474	0.9473222124670764	1.1883326398756486	odds_ratio_young_vs_old	0.756939738376001	1.865583733288378	0.4982959442525723	0.7474439163788584
PD	gene_body_TE_fraction	fractional_coverage	654	1139	0.1628907711671259	0.1333333333333333	0.0531060294855996	rank_biserial_young_vs_old	-0.0030116887231409176	0.1085340633583297	0.0561803414219943	0.0963091567234189
PD	promoter_TE_fraction	fractional_coverage	654	1139	0.44125	0.439	0.0004201872451021	rank_biserial_young_vs_old	-0.0554971365514575	0.05533516980666027	0.988204791666386	0.988204791666386
TRD	gene_body_TE	binary_overlap	225	2225	0.5555555555555556	0.533932584269663	1.0901006117916936	odds_ratio_young_vs_old	0.8277914386828069	1.435529879023024	0.5748520738155904	0.7664694317541206
TRD	promoter_TE	binary_overlap	225	2225	0.9333333333333332	0.9253932584269664	1.0979254281888025	odds_ratio_young_vs_old	0.6401502654122412	1.88305826146505	0.7890148589599708	0.866471792342303
TRD	gene_body_TE_fraction	fractional_coverage	225	2225	0.0380718954248366	0.0138613861386138	0.1587355805243446	rank_biserial_young_vs_old	0.07114347066167287	0.24691535580524332	3.443805472651361e-05	0.0001033141641795
TRD	promoter_TE_fraction	fractional_coverage	225	2225	0.5775	0.3885	0.2536789013732834	rank_biserial_young_vs_old	0.16488504369538073	0.33246721598002493	3.3684242595309585e-10	4.04210911143715e-09
