duplication_type	trajectory	comparison	n	statistic	p_raw	p_BH	significance
TD	Con	P vs C	86	1596.0	0.23720722397712368	0.25116059009342506	ns
TD	Con	P vs A	86	407.0	2.941582903516554e-10	7.05979896843973e-10	****
TD	Con	C vs A	86	336.0	3.907261389378782e-11	1.2787400910694197e-10	****
TD	Neo(C)	P vs C	48	44.0	1.0522427373871324e-10	2.913902965072059e-10	****
TD	Neo(C)	P vs A	48	245.0	0.000280715878361093	0.0003742878378147907	***
TD	Neo(C)	C vs A	48	36.0	3.537081738613779e-11	1.2733494259009603e-10	****
TD	Neo(P)	P vs C	32	20.0	1.7276033759117126e-07	3.27335376488535e-07	****
TD	Neo(P)	P vs A	32	13.0	4.0978193283081055e-08	8.195638656616211e-08	****
TD	Neo(P)	C vs A	32	139.0	0.018431528005748987	0.022880517524378054	*
TD	Spe	P vs C	140	4578.0	0.4577320091881	0.4577320091881	ns
TD	Spe	P vs A	140	1445.0	3.886388357959737e-13	1.5545553431838948e-12	****
TD	Spe	C vs A	140	1792.0	6.248288897238042e-11	1.8744866691714126e-10	****
PD	Con	P vs C	63	799.0	0.15247729250513836	0.17045454545454544	ns
PD	Con	P vs A	63	263.0	3.3903035091341104e-07	5.547769378583089e-07	****
PD	Con	C vs A	63	197.0	2.821120300623053e-08	6.34752067640187e-08	****
PD	Neo(C)	P vs C	24	3.0	5.960464477539062e-07	8.940696716308594e-07	****
PD	Neo(C)	P vs A	24	63.0	0.012919959392895503	0.016611376362294216	*
PD	Neo(C)	C vs A	24	1.0	2.384185791015625e-07	4.087175641741071e-07	****
PD	Neo(P)	P vs C	23	0.0	2.384185791015625e-07	4.087175641741071e-07	****
PD	Neo(P)	P vs A	23	1.0	4.76837158203125e-07	7.463538128396739e-07	****
PD	Neo(P)	C vs A	23	11.0	1.3113021850585938e-05	1.8156491793118992e-05	****
PD	Spe	P vs C	94	1936.0	0.2635319390366415	0.271061423009117	ns
PD	Spe	P vs A	94	548.0	2.1233328077949643e-10	5.459998648615622e-10	****
PD	Spe	C vs A	94	771.0	3.5635339681835403e-08	7.546307226741615e-08	****
TRD	Con	P vs C	268	7620.0	2.592021223536241e-16	1.3330394863900667e-15	****
TRD	Con	P vs A	268	5483.0	5.421185344559169e-23	3.903253448082601e-22	****
TRD	Con	C vs A	268	1565.0	2.1053553182078117e-38	2.5264263818493743e-37	****
TRD	Neo(C)	P vs C	361	81.0	1.26612344860292e-60	2.279022207485256e-59	****
TRD	Neo(C)	P vs A	361	8811.0	2.621248917754731e-33	2.3591240259792578e-32	****
TRD	Neo(C)	C vs A	361	23.0	7.814059891623997e-61	2.279022207485256e-59	****
TRD	Neo(P)	P vs C	6	3.0	0.15625	0.17045454545454544	ns
TRD	Neo(P)	P vs A	6	1.0	0.0625	0.07258064516129033	ns
TRD	Neo(P)	C vs A	6	0.0	0.03125	0.0375	*
TRD	Spe	P vs C	145	2844.0	1.346261470855433e-06	1.938616518031824e-06	****
TRD	Spe	P vs A	145	1450.0	3.343283304863451e-14	1.504477487188553e-13	****
TRD	Spe	C vs A	145	858.0	2.0824329856444166e-18	1.2494597913866499e-17	****
