duplication_type	trajectory	role	log2_TPM_plus_1
TD	Con	P	4.311235455307036
TD	Con	P	4.114933524139899
TD	Con	P	3.604987330033118
TD	Con	P	3.871261180783467
TD	Con	P	4.726368205439879
TD	Con	P	3.830327487542942
TD	Con	P	7.238287145332565
TD	Con	P	5.78294878416924
TD	Con	P	3.8679310157957496
TD	Con	P	2.748816996662329
TD	Con	P	5.874308773125227
TD	Con	P	2.972898843579587
TD	Con	P	2.8526414459207223
TD	Con	P	4.7575949202959205
TD	Con	P	5.012777978710472
TD	Con	P	1.0473190945493538
TD	Con	P	5.233407318149602
TD	Con	P	9.234520853173102
TD	Con	P	4.238636914924502
TD	Con	P	4.680131149936128
TD	Con	P	4.296167970532721
TD	Con	P	4.327784259065146
TD	Con	P	0.485570402532227
TD	Con	P	5.713160335785337
TD	Con	P	4.908724089292235
TD	Con	P	4.987624965695733
TD	Con	P	2.596170470376372
TD	Con	P	2.597874416546356
TD	Con	P	6.1455852393112504
TD	Con	P	2.7495828930023616
TD	Con	P	5.654010806364051
TD	Con	P	5.529793138469918
TD	Con	P	3.3484929374117387
TD	Con	P	3.1027230707732407
TD	Con	P	4.492988072137287
TD	Con	P	5.366550130400153
TD	Con	P	3.572878393532927
TD	Con	P	4.56719885783259
TD	Con	P	4.282132081269554
TD	Con	P	3.8075282068047294
TD	Con	P	3.2072300589673852
TD	Con	P	5.04480185624727
TD	Con	P	0.4259213300431832
TD	Con	P	4.9292365169916685
TD	Con	P	4.077071041885601
TD	Con	P	8.699322275968905
TD	Con	P	5.156176761179961
TD	Con	P	2.313341205843739
TD	Con	P	2.971435644756265
TD	Con	P	7.253249715980144
TD	Con	P	6.110232766776489
TD	Con	P	5.985973790079672
TD	Con	P	7.494714419423282
TD	Con	P	5.099409833997292
TD	Con	P	6.896226374291329
TD	Con	P	6.759618446696519
TD	Con	P	4.326525819380526
TD	Con	P	0.643590247714815
TD	Con	P	4.05361372980757
TD	Con	P	10.20140520929197
TD	Con	P	4.73577486147154
TD	Con	P	2.480760457108659
TD	Con	P	8.38602025245884
TD	Con	P	5.472019149819808
TD	Con	P	6.090219568660737
TD	Con	P	6.127279089558414
TD	Con	P	3.048805860966581
TD	Con	P	3.9992199974835887
TD	Con	P	4.551860203399991
TD	Con	P	6.503974702809291
TD	Con	P	1.956522106750662
TD	Con	P	5.2035501961642385
TD	Con	P	5.564258863849977
TD	Con	P	3.191481796874168
TD	Con	P	3.159025676409556
TD	Con	P	2.4492010410164
TD	Con	P	3.5580463140297054
