duplication_type	trajectory	comparison	n	statistic	p_raw	p_BH	significance
TD	Con	P vs C	23	80.0	0.08020281791687012	0.1443650722503662	ns
TD	Con	P vs A	23	29.0	0.00040793418884277344	0.0018357038497924805	**
TD	Con	C vs A	23	23.0	0.000152587890625	0.0007847377232142857	***
TD	Neo(C)	P vs C	10	4.0	0.013671875	0.03515625	*
TD	Neo(C)	P vs A	10	11.0	0.10546875	0.18080357142857142	ns
TD	Neo(C)	C vs A	10	4.0	0.013671875	0.03515625	*
TD	Neo(P)	P vs C	4	1.0	0.25	0.36	ns
TD	Neo(P)	P vs A	4	1.0	0.25	0.36	ns
TD	Neo(P)	C vs A	4	3.0	0.625	0.7258064516129032	ns
TD	Spe	P vs C	18	77.0	0.7337265014648438	0.8254423141479492	ns
TD	Spe	P vs A	18	24.0	0.0055999755859375	0.018327192826704544	*
TD	Spe	C vs A	18	24.0	0.0055999755859375	0.018327192826704544	*
PD	Con	P vs C	19	70.0	0.3320655822753906	0.4597831139197716	ns
PD	Con	P vs A	19	30.0	0.007144927978515625	0.021434783935546875	*
PD	Con	C vs A	19	16.0	0.000644683837890625	0.0025787353515625	**
PD	Neo(C)	P vs C	2	0.0	0.5	0.6	ns
PD	Neo(C)	P vs A	2	0.0	0.5	0.6	ns
PD	Neo(C)	C vs A	2	0.0	0.5	0.6	ns
PD	Neo(P)	P vs C	5	0.0	0.0625	0.12443462171052631	ns
PD	Neo(P)	P vs A	5	0.0	0.0625	0.12443462171052631	ns
PD	Neo(P)	C vs A	5	1.0	0.125	0.20454545454545456	ns
PD	Spe	P vs C	13	41.0	0.786865234375	0.8583984375	ns
PD	Spe	P vs A	13	19.0	0.065673828125	0.12443462171052631	ns
PD	Spe	C vs A	13	16.0	0.039794921875	0.0955078125	ns
TRD	Con	P vs C	77	639.0	1.1905279172812751e-05	7.143167503687651e-05	****
TRD	Con	P vs A	77	475.0	1.8678709195129304e-07	1.34486706204931e-06	****
TRD	Con	C vs A	77	113.0	1.7882232789979678e-12	2.1458679347975612e-11	****
TRD	Neo(C)	P vs C	75	0.0	5.2803729173201584e-14	9.504671251176285e-13	****
TRD	Neo(C)	P vs A	75	409.0	8.090775825903984e-08	7.281698243313585e-07	****
TRD	Neo(C)	C vs A	75	0.0	5.2793130774189556e-14	9.504671251176285e-13	****
TRD	Neo(P)	P vs C	2	1.0	1.0	1.0	ns
TRD	Neo(P)	P vs A	2	1.0	1.0	1.0	ns
TRD	Neo(P)	C vs A	2	0.0	0.5	0.6	ns
TRD	Spe	P vs C	13	44.0	0.946044921875	1.0	ns
TRD	Spe	P vs A	13	17.0	0.0478515625	0.107666015625	ns
TRD	Spe	C vs A	13	28.0	0.243896484375	0.36	ns
