duplication_type	trajectory	role	log2_TPM_plus_1
TD	Con	P	4.311235455307036
TD	Con	P	3.830327487542942
TD	Con	P	2.8526414459207223
TD	Con	P	4.7575949202959205
TD	Con	P	2.597874416546356
TD	Con	P	6.1455852393112504
TD	Con	P	4.282132081269554
TD	Con	P	3.2072300589673852
TD	Con	P	5.156176761179961
TD	Con	P	2.313341205843739
TD	Con	P	5.099409833997292
TD	Con	P	0.643590247714815
TD	Con	P	4.73577486147154
TD	Con	P	2.480760457108659
TD	Con	P	5.472019149819808
TD	Con	P	6.090219568660737
TD	Con	P	6.127279089558414
TD	Con	P	5.564258863849977
TD	Con	P	2.4492010410164
TD	Con	P	4.436212976064974
TD	Con	P	3.620547938071153
TD	Con	P	4.45944519302223
TD	Con	P	2.228349257343978
TD	Con	C	5.241927076889886
TD	Con	C	1.8389600339438652
TD	Con	C	7.508342646602347
TD	Con	C	5.151059246432043
TD	Con	C	3.6086973309246533
TD	Con	C	7.351136078676321
TD	Con	C	4.709097987778215
TD	Con	C	1.8120687414363124
TD	Con	C	5.350346386807252
TD	Con	C	2.4240319278234743
TD	Con	C	5.1978581262380885
TD	Con	C	1.3389688705784546
TD	Con	C	6.984579731603979
TD	Con	C	5.118213798819057
TD	Con	C	3.686423525365817
TD	Con	C	5.749741709441279
TD	Con	C	5.745812094660061
TD	Con	C	6.308056364686591
TD	Con	C	3.917838042957235
TD	Con	C	4.636956600363158
TD	Con	C	4.428214932696971
TD	Con	C	5.0768353814293885
TD	Con	C	1.378913764684301
TD	Con	A	3.662223428769679
TD	Con	A	3.5463159080502753
TD	Con	A	7.699706293552239
TD	Con	A	5.859492371456735
TD	Con	A	5.081582328886207
TD	Con	A	9.164344424846046
TD	Con	A	6.510250887219484
TD	Con	A	3.340679972758979
TD	Con	A	7.398603010557512
TD	Con	A	4.220243860154914
TD	Con	A	6.238897142963469
TD	Con	A	2.572478017288241
TD	Con	A	7.255306930372245
TD	Con	A	5.110220194625759
TD	Con	A	3.1916557638490937
TD	Con	A	7.236172811048625
TD	Con	A	6.264746624185198
TD	Con	A	7.378716278091155
TD	Con	A	5.769136705276204
TD	Con	A	5.228118961214243
TD	Con	A	4.468601823003384
TD	Con	A	6.708468138209101
TD	Con	A	1.4658575644775629
TD	Neo(C)	P	6.785231646715621
TD	Neo(C)	P	1.1612916751854272
TD	Neo(C)	P	5.02751650846414
TD	Neo(C)	P	2.5695377146889733
TD	Neo(C)	P	7.898000867527942
TD	Neo(C)	P	5.135765860868899
TD	Neo(C)	P	3.717256698821055
TD	Neo(C)	P	5.678987918146309
TD	Neo(C)	P	2.973195120581559
TD	Neo(C)	P	4.075570851526141
TD	Neo(C)	C	0.08251980005071627
TD	Neo(C)	C	4.0369601148487435
TD	Neo(C)	C	2.520538078563281
TD	Neo(C)	C	1.9634296093642285
TD	Neo(C)	C	0.03300450788990899
TD	Neo(C)	C	2.2202961058434556
TD	Neo(C)	C	0.008212685354686161
TD	Neo(C)	C	1.9308585503884466
TD	Neo(C)	C	0.3849092716902142
TD	Neo(C)	C	0.3735036330100655
TD	Neo(C)	A	7.32487323703082
TD	Neo(C)	A	0.64413408378151
TD	Neo(C)	A	6.7019355189062235
TD	Neo(C)	A	3.678780849321322
TD	Neo(C)	A	8.37994128016959
TD	Neo(C)	A	6.133538476451531
TD	Neo(C)	A	3.1146218619081307
TD	Neo(C)	A	4.84533955954849
TD	Neo(C)	A	6.7019355189062235
TD	Neo(C)	A	5.126587366331954
TD	Neo(P)	P	0.00955093645307515
TD	Neo(P)	P	0.15751827659599113
TD	Neo(P)	P	0.6310853412896974
TD	Neo(P)	P	1.0612839271112087
TD	Neo(P)	C	3.5363255977225245
TD	Neo(P)	C	4.946693755330588
TD	Neo(P)	C	4.6015622528429185
TD	Neo(P)	C	0.5770202835573437
TD	Neo(P)	A	5.217787856051947
TD	Neo(P)	A	4.405561188030164
TD	Neo(P)	A	4.722200722706767
TD	Neo(P)	A	1.0006722594613429
TD	Spe	P	0.9736057655342549
TD	Spe	P	0.9129364595074956
TD	Spe	P	0.089800036635147
TD	Spe	P	2.362108269595775
TD	Spe	P	0.5762112336722446
TD	Spe	P	1.0922799544821318
TD	Spe	P	1.3931791184270352
TD	Spe	P	0.249019296304437
TD	Spe	P	0.13166344990940507
TD	Spe	P	1.0848232946904708
TD	Spe	P	2.2595255454448715
TD	Spe	P	2.216109839471667
TD	Spe	P	1.292963105205135
TD	Spe	P	0.36295907370035824
TD	Spe	P	0.4851155836689509
TD	Spe	P	3.0225837128322595
TD	Spe	P	3.217142548829695
TD	Spe	P	0.4474630004817803
TD	Spe	C	4.25671752214166
TD	Spe	C	0.9195251830570527
TD	Spe	C	2.650724126332619
TD	Spe	C	0.018099532599788366
TD	Spe	C	0.9566229601794369
TD	Spe	C	0.2388060138856466
TD	Spe	C	1.2312493974058092
TD	Spe	C	0.013529435126254522
TD	Spe	C	0.15592707640080286
TD	Spe	C	3.2134024997321884
TD	Spe	C	1.1254271646122525
TD	Spe	C	0.006042080684537643
TD	Spe	C	2.053741291617706
TD	Spe	C	0.9706778458402334
TD	Spe	C	1.1813757939039402
TD	Spe	C	2.515845813767403
TD	Spe	C	0.04608984834613847
TD	Spe	C	4.211827088593328
TD	Spe	A	7.847275453815445
TD	Spe	A	0.27180612130404863
TD	Spe	A	3.3045138405577394
TD	Spe	A	3.112850982396058
TD	Spe	A	3.6669405143118117
TD	Spe	A	2.014093334341246
TD	Spe	A	4.016032863773032
