duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status
TD	Pbre1_01G053000	Pbre1_01G053200	Prupe.6G168100.1	18.8523165	36.842279166666664	11.660157333333334	0.4254065097507523	0.646061390939151	0.6184477827644164	0.2744777853277595	0.31008770504162037	0.28331552470927635	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G108000	Pbre1_01G108200	Prupe.6G208400.1	0.005444833333333333	2.8320555	2.8844925	1.0	0.9476830303458221	0.7176814370549925	1.1149887158412184	0.9491891975870993	0.9479294879322028	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G113200	Pbre1_01G113400	Prupe.6G210700.1	16.326802333333333	10.288459166666666	11.971323833333333	0.6547138402814111	0.5510368040577733	0.44708655136268344	0.27400167399053743	0.2552179508274183	0.2629260019947878	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G113600	Pbre1_01G113800	Prupe.6G210900.1	8.377898	0.0	117.51408133333334	0.48591328616214274	NA	0.9185178529488265	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_01G115400	Pbre1_01G115600	Prupe.6G211700.1	0.9255691666666667	10.501929166666667	3.4803065	0.5411217060030207	0.5287112227494836	0.8716555429074055	0.5113676820852688	0.5694402367469601	0.5609554963910529	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G135600	Pbre1_01G135800	Prupe.2G165900.1	0.0	0.09874266666666667	0.224702	NA	0.6713565507580016	0.9697941620920167	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_01G152000	Pbre1_01G152200	Prupe.2G174300.1	44.85412216666667	0.30860583333333336	2.450424	0.9999917239410241	0.9334990896595399	0.9968801913085151	0.020668793498868538	1.1236091718172245	0.01285404154090237	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TD	Pbre1_01G175000	Pbre1_01G175200	Prupe.2G189100.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_01G186000	Pbre1_01G186200	Prupe.2G195300.1	3.2156468333333335	0.12463199999999999	9.7732795	0.9945200171955026	0.9493662867571278	0.9733587020447281	0.136190999217149	0.17553880504689523	0.1320680158561886	Conservation	Specialization	Specialization	discordant	classified
TD	Pbre1_01G188200	Pbre1_01G188400	Prupe.2G196600.1	0.8305648333333334	0.23148400000000002	1.0423971666666667	0.934732669409447	0.9422306109779489	0.9994748319293851	0.34117680142032536	0.30557852443670347	0.33334650353689965	Conservation	Neofunctionalization(Parent)	Neofunctionalization(Parent)	discordant	classified
TD	Pbre1_01G191200	Pbre1_01G191400	Prupe.2G198700.1	4.362407	13.411175166666666	37.93001966666667	0.9982639695352447	0.7556969692585919	0.8750304681982037	0.4143133171843665	0.5923909963225398	0.3675955164311235	Subfunctionalization	Neofunctionalization(Parent)	Neofunctionalization(Parent)	discordant	classified
TD	Pbre1_01G222000	Pbre1_01G222200	Prupe.2G214400.1	52.15242933333333	2.4129051666666665	104.34792566666667	0.6854485477613877	0.6866448664773867	0.2919813162848868	0.20034291296906748	0.4372055014970932	0.18432940914541895	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TD	Pbre1_01G227800	Pbre1_01G228000	Prupe.2G218000.1	0.19297866666666666	0.2075795	1.4349275	0.9562538944744775	0.7242548558986994	0.8386666756200158	0.8617516214837591	0.7728322481596547	0.7633154028518118	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G242200	Pbre1_01G242400	Prupe.2G227500.1	11.167723166666667	24.745118166666668	37.65436666666667	0.6290536889270923	0.4989308072990177	0.48718978229486004	0.36983650526377176	0.11519173264552802	0.15338754408932112	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G249400	Pbre1_01G249600	Prupe.2G231700.1	13.634090500000001	36.140987	45.825050833333336	0.49916390527878046	0.5051389108234525	0.7109811554187225	0.2907864970454507	0.20988657042771136	0.21547098609055446	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G253400	Pbre1_01G253600	Prupe.2G234200.1	0.7838878333333333	0.8544605	0.3555775	0.6547139099152158	0.7161057311133764	0.7836897769625539	0.5105356504828488	0.5211612894030386	0.514096987052516	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G260400	Pbre1_01G260600	Prupe.2G238700.1	25.471503000000002	6.5294585000000005	5.559367	0.4964730276369386	0.44726067489887467	0.5249404322633857	0.311582683816162	0.34283289136373524	0.3093999091026408	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G293600	Pbre1_01G293400	Prupe.2G256600.1	0.006642166666666667	10.602192833333334	36.214368666666665	1.0	0.7518759429308064	0.7974207167012572	1.1091115521762418	0.22134854548051566	0.22162954525414352	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	classified
TD	Pbre1_01G294600	Pbre1_01G294800	Prupe.2G257400.1	0.8203463333333333	3.0422365	11.051228833333333	0.9456713663152696	0.9513758564433861	0.9535371551418514	1.0329865142296946	1.0468288592068913	1.0438288452677016	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G310800	Pbre1_01G311000	Prupe.2G265800.1	5.365671	1.833558	6.1122985	0.8969123809271864	0.8602984653393271	0.6117000240140176	0.3674742745137896	0.3654410511215176	0.3586228969223285	Conservation	Neofunctionalization(Child)	Specialization	discordant	classified
TD	Pbre1_01G336400	Pbre1_01G336600	Prupe.2G279700.1	0.0	59.267171	148.79454466666667	NA	0.9385218043514065	0.7803067439304774	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_01G337000	Pbre1_01G337200	Prupe.2G280000.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_01G342200	Pbre1_01G342400	Prupe.2G283100.1	13.2247115	2.5775205	10.682814	0.40468956732915756	0.6852744224360655	0.47407318649343544	0.18945096662522726	0.33800757908546913	0.1886585660773028	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_01G345000	Pbre1_01G345200	Prupe.2G285300.1	3.471900666666667	4.0468045	4.2310035	0.9242082012278594	0.6601351995091578	0.6537703926842389	0.543967929027562	0.3312323859909766	0.3817221618939653	Neofunctionalization(Parent)	Specialization	Specialization	discordant	classified
TD	Pbre1_01G350400	Pbre1_01G350600	Prupe.2G287500.1	14.053873833333334	3.7917871666666665	27.727636	0.9239449628579974	0.9014309467815934	0.6910571518463224	0.49612142878979537	0.49230482186254276	0.4916941406764972	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G364800	Pbre1_01G365000	Prupe.2G294100.1	254.47423833333332	21.290657666666668	147.17056633333334	0.9199354994768086	0.5379120238516382	0.44410350830172785	0.7186960665213752	0.39595268233188613	0.6814540478871398	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G379000	Pbre1_01G379200	Prupe.2G301600.1	69.839726	480.2033896666667	372.45157216666666	0.9351134398654232	0.8287798905008001	0.5248515730349642	0.5990303477080804	0.35014659852459645	0.38169201351834353	Neofunctionalization(Parent)	Conservation	Conservation	discordant	classified
TD	Pbre1_01G380200	Pbre1_01G380400	Prupe.2G301900.1	11.703598833333334	0.3389265	3.8349761666666664	0.34507803725230035	0.8000269460135634	0.8385109512146209	0.44215714644206877	0.5083873938640173	0.4361382849697693	Specialization	Specialization	Neofunctionalization(Child)	Specialization	classified
TD	Pbre1_01G386400	Pbre1_01G386600	Prupe.2G304800.1	0.10579983333333334	0.08015699999999999	0.317308	0.7821821604401968	1.0	0.9548140578486694	0.6156948534157093	0.21024426787524592	0.28986521804017723	Neofunctionalization(Parent)	Specialization	Specialization	discordant	classified
TD	Pbre1_01G409600	Pbre1_01G409800	Prupe.2G316300.1	102.64653583333333	252.77440983333335	209.78684866666666	0.4262226927973344	0.6769814777902242	0.7139157035245883	0.328042024760424	0.4930367940993577	0.42583670550235775	Neofunctionalization(Child)	Conservation	Conservation	discordant	classified
TD	Pbre1_01G415000	Pbre1_01G415200	Prupe.2G319700.1	0.22561833333333334	349.16685133333334	72.25221166666667	0.5827849474867264	0.7581345436534302	0.9552167971404957	0.6466252001329899	0.4871294259408433	0.487167902001743	Specialization	Neofunctionalization(Parent)	Neofunctionalization(Parent)	discordant	classified
TD	Pbre1_01G415600	Pbre1_01G415800	Prupe.2G319900.1	86.15513566666667	99.87801316666668	59.974001666666666	0.6593751730531667	0.5190908065715498	0.48647570256147893	0.42861641154598984	0.19150002910715158	0.29653682822884236	Neofunctionalization(Parent)	Conservation	Conservation	discordant	classified
TD	Pbre1_01G418000	Pbre1_01G418200	Prupe.2G321300.1	10.122182166666667	0.6251776666666666	33.2349495	0.5808371464927606	0.511544052329807	0.6221842300910457	0.2761715091358267	0.2031833029627776	0.2676194759066394	Conservation	Neofunctionalization(Child)	Neofunctionalization(Child)	discordant	classified
TD	Pbre1_01G423000	Pbre1_01G423200	Prupe.2G323600.1	21.225355333333333	1.0379726666666667	47.98377683333333	0.8468083260041859	0.7106766519124615	0.641479572701873	0.3012084952759965	0.2716438338505778	0.2971839227571357	Conservation	Specialization	Neofunctionalization(Child)	discordant	classified
TD	Pbre1_01G425600	Pbre1_01G425800	Prupe.2G325000.1	4.74269	0.019038833333333335	3.0716696666666667	0.9613234305746572	0.8530297967985906	0.9706853694982349	1.1549601135113738	0.7186486537789901	1.1516277571871882	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_01G426000	Pbre1_01G426200	Prupe.2G325200.1	15.7906985	1.7262151666666665	4.300917	0.7608973287665709	0.8249828554959089	0.997860179539438	1.1563386698924827	0.5307914286413687	1.0869843978711544	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G022800	Pbre1_02G023000	Prupe.7G260600.1	149.9876925	89.61400083333334	371.63694383333336	0.5329351580709265	0.6061103825674151	0.6989951908948633	0.3570339690526853	0.3142787138306943	0.32855579888128017	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_02G044200	Pbre1_02G044400	Prupe.7G250300.1	54.06061366666666	10.134673333333334	101.18939633333333	0.7133984703804446	0.6135071128901616	0.4821897964563687	0.1674456942182501	0.3126413981270696	0.12650838050453636	Conservation	Conservation	Conservation	Conservation	classified
