method	classification	count
CDROM	Conservation	863
CDROM	Neofunctionalization(Child)	595
CDROM	Neofunctionalization(Parent)	214
CDROM	Specialization	515
CDROM	Subfunctionalization	18
binary_TPM0.5	Conservation	679
binary_TPM0.5	Neofunctionalization(Child)	745
binary_TPM0.5	Neofunctionalization(Parent)	168
binary_TPM0.5	Specialization	603
binary_TPM0.5	Subfunctionalization	10
binary_TPM1	Conservation	540
binary_TPM1	Neofunctionalization(Child)	783
binary_TPM1	Neofunctionalization(Parent)	165
binary_TPM1	Specialization	707
binary_TPM1	Subfunctionalization	10
status	all_zero_expression_profile	552
status	missing_expression_record	235
two_method_agreement	Conservation	417
two_method_agreement	Neofunctionalization(Child)	433
two_method_agreement	Neofunctionalization(Parent)	61
two_method_agreement	Specialization	379
two_method_agreement	discordant	915
