duplication_type	trajectory	comparison	n	statistic	p_raw	p_BH	significance
TD	Con	P vs C	86	1806.0	0.9249440069635815	0.9249440069635815	ns
TD	Con	P vs A	86	1346.0	0.050248533139342105	0.09044735965081578	ns
TD	Con	C vs A	86	1262.0	0.01967632227769882	0.04166750599983279	*
PD	Con	P vs C	63	921.0	0.5514350885188594	0.6617221062226313	ns
PD	Con	P vs A	63	954.0	0.7116137656990484	0.8005654864114295	ns
PD	Con	C vs A	63	965.0	0.768465655836488	0.8383261700034415	ns
TRD	Con	P vs C	268	16593.0	0.2601956025020832	0.3746816676029998	ns
TRD	Con	P vs A	268	13072.0	9.68939956757205e-05	0.0002906819870271615	***
TRD	Con	C vs A	268	15221.0	0.027370606304591434	0.05474121260918287	ns
TD	Neo(C)	P vs C	48	111.0	8.809552554112088e-08	1.0571463064934505e-06	****
TD	Neo(C)	P vs A	48	522.0	0.5051188298409883	0.6270440646301924	ns
TD	Neo(C)	C vs A	48	116.0	1.3101014673111422e-07	1.179091320580028e-06	****
PD	Neo(C)	P vs C	24	7.0	2.2649765014648438e-06	1.1648450578962053e-05	****
PD	Neo(C)	P vs A	24	112.0	0.277556383830461	0.3843088391498691	ns
PD	Neo(C)	C vs A	24	14.0	1.3113021850585938e-05	5.245208740234375e-05	****
TRD	Neo(C)	P vs C	361	1004.0	2.433366094791495e-57	8.760117941249382e-56	****
TRD	Neo(C)	P vs A	361	24987.0	0.00010773775472280178	0.0002983507053862203	***
TRD	Neo(C)	C vs A	361	1594.0	2.7294124408172267e-55	4.9129423934710077e-54	****
TD	Neo(P)	P vs C	32	42.0	5.245208740234375e-06	2.3603439331054688e-05	****
TD	Neo(P)	P vs A	32	55.0	2.54092738032341e-05	9.147338569164276e-05	****
TD	Neo(P)	C vs A	32	171.0	0.0837108832783997	0.13698144536465406	ns
PD	Neo(P)	P vs C	23	3.0	1.1920928955078125e-06	7.152557373046875e-06	****
PD	Neo(P)	P vs A	23	2.0	7.152557373046875e-07	5.14984130859375e-06	****
PD	Neo(P)	C vs A	23	129.0	0.7997725009918213	0.8468179422266343	ns
TRD	Neo(P)	P vs C	6	0.0	0.03125	0.05921052631578947	ns
TRD	Neo(P)	P vs A	6	1.0	0.0625	0.10714285714285714	ns
TRD	Neo(P)	C vs A	6	3.0	0.15625	0.234375	ns
TD	Spe	P vs C	140	4178.0	0.1486252204870817	0.23263077989282355	ns
TD	Spe	P vs A	140	3033.0	7.611902761858153e-05	0.0002491168176608123	***
TD	Spe	C vs A	140	3469.0	0.00229307204700721	0.005503372912817304	**
PD	Spe	P vs C	94	1988.0	0.35653197337508746	0.47537596450011665	ns
PD	Spe	P vs A	94	1388.0	0.001449757469374712	0.0037279477783921165	**
PD	Spe	C vs A	94	1494.0	0.0053554946071913195	0.012049862866180469	*
TRD	Spe	P vs C	145	4896.0	0.43385987634828793	0.5578198410192273	ns
TRD	Spe	P vs A	145	5215.0	0.8784230048744617	0.903520805013732	ns
TRD	Spe	C vs A	145	5098.0	0.7010521641477496	0.8005654864114295	ns
