duplication_type	trajectory	role	tau
TD	Con	P	0.4254065097507523
TD	Con	P	0.6547138402814111
TD	Con	P	0.6290536889270923
TD	Con	P	0.4991639052787804
TD	Con	P	0.4964730276369386
TD	Con	P	0.4046895673291575
TD	Con	P	0.5329351580709265
TD	Con	P	0.7133984703804446
TD	Con	P	0.323327295620187
TD	Con	P	0.7085780468586556
TD	Con	P	0.3012361297064994
TD	Con	P	0.7208128201562314
TD	Con	P	0.5909978696758308
TD	Con	P	0.3449766008744356
TD	Con	P	0.628310667428541
TD	Con	P	1.0
TD	Con	P	0.3180128077484346
TD	Con	P	0.3144893120586886
TD	Con	P	0.3860574812869609
TD	Con	P	0.364685887106686
TD	Con	P	0.374331552420255
TD	Con	P	0.8402886391666848
TD	Con	P	0.9959124446233368
TD	Con	P	0.3005058408623858
TD	Con	P	0.3771320327658706
TD	Con	P	0.5134291563796088
TD	Con	P	0.311674221498789
TD	Con	P	0.4861576528800445
TD	Con	P	0.3493172442299533
TD	Con	P	0.4139142875547878
TD	Con	P	0.5149199894313365
TD	Con	P	0.4017490135541243
TD	Con	P	0.1769540554933625
TD	Con	P	0.5859780659456165
TD	Con	P	0.5579253737504147
TD	Con	P	0.4772653569264352
TD	Con	P	0.5051780876159846
TD	Con	P	0.2313284982884799
TD	Con	P	0.5133128907647564
TD	Con	P	0.6877795578054153
TD	Con	P	0.5359276142879777
TD	Con	P	0.3835926867480614
TD	Con	P	0.9779174204298242
TD	Con	P	0.4084622637683057
TD	Con	P	0.3233667589036408
TD	Con	P	0.4622625617856696
TD	Con	P	0.3177074982565346
TD	Con	P	0.454670408232864
TD	Con	P	0.4628409748155911
TD	Con	P	0.5618782049173747
TD	Con	P	0.1770044876236768
TD	Con	P	0.4684172866022338
TD	Con	P	0.3709365384096326
TD	Con	P	0.7208619714222883
TD	Con	P	0.2661598682689076
TD	Con	P	0.6427784840084572
TD	Con	P	0.8332515786307868
TD	Con	P	1.0
TD	Con	P	0.3442792776079257
TD	Con	P	0.7733934509313579
TD	Con	P	0.3995636168188817
TD	Con	P	0.1780213317601146
TD	Con	P	0.5285837517360148
TD	Con	P	0.4989204567069107
TD	Con	P	0.2795697002467311
TD	Con	P	0.1836738922249458
TD	Con	P	0.3165619431281059
TD	Con	P	0.4694948192735272
TD	Con	P	0.182437170955767
TD	Con	P	0.52134947558235
TD	Con	P	0.5126284235852083
TD	Con	P	0.501017740551178
TD	Con	P	0.3849758282478859
TD	Con	P	0.4257838943684272
TD	Con	P	0.3335977612493896
TD	Con	P	0.4089574580072518
TD	Con	P	0.535809729553853
TD	Con	P	0.5142742186662695
TD	Con	P	0.3101142806453385
TD	Con	P	0.7168719787161316
TD	Con	P	0.4775520147412496
TD	Con	P	0.4796710742408158
TD	Con	P	1.0
TD	Con	P	0.70261357157465
TD	Con	P	0.5218702988011834
TD	Con	P	0.4002098215811369
TD	Con	C	0.646061390939151
TD	Con	C	0.5510368040577733
TD	Con	C	0.4989308072990177
TD	Con	C	0.5051389108234525
TD	Con	C	0.4472606748988746
TD	Con	C	0.6852744224360655
TD	Con	C	0.6061103825674151
TD	Con	C	0.6135071128901616
TD	Con	C	0.565703473182268
TD	Con	C	0.843105175303287
TD	Con	C	0.4432080389700846
TD	Con	C	0.5363320353072355
TD	Con	C	0.4679690821433636
TD	Con	C	0.3596735274694178
TD	Con	C	0.1443089089768771
TD	Con	C	0.9949255738779892
TD	Con	C	0.7435552337328322
TD	Con	C	0.4092966571834356
TD	Con	C	0.4431674657231223
TD	Con	C	0.3177811944730672
TD	Con	C	0.5508412452766969
TD	Con	C	0.5119927471892295
TD	Con	C	1.0
TD	Con	C	0.2762349492169121
TD	Con	C	0.3772626478409796
TD	Con	C	0.3999094119943083
TD	Con	C	0.4378748987361679
TD	Con	C	0.4091618572896722
TD	Con	C	0.600837635202254
TD	Con	C	0.7903135048645036
TD	Con	C	0.5902485782395301
