duplication_type	trajectory	Ka_Ks
TD	Con	0.47659
TD	Con	0.447833
TD	Con	0.0787229
TD	Con	0.539616
TD	Con	0.192888
TD	Con	0.261056
TD	Con	0.311411
TD	Con	0.0146209
TD	Con	1.33597
TD	Con	0.668214
TD	Con	0.551212
TD	Con	0.882243
TD	Con	0.817921
TD	Con	0.263265
TD	Con	0.432682
TD	Con	0.0288525
TD	Con	0.362196
TD	Con	0.61523
TD	Con	0.30599
TD	Con	0.288456
TD	Con	0.63557
TD	Con	2.49076e-12
TD	Con	0.00749545
TD	Con	0.365632
TD	Con	0.346047
TD	Con	0.608204
TD	Con	0.789858
TD	Con	1.26899
TD	Con	0.414832
TD	Con	0.259852
TD	Con	0.156953
TD	Con	0.314734
TD	Con	0.0163872
TD	Con	0.49451
TD	Con	0.739197
TD	Con	0.454126
TD	Con	0.257582
TD	Con	0.135551
TD	Con	0.97477
TD	Con	0.0681921
TD	Con	0.152844
TD	Con	0.185224
TD	Con	0.0
TD	Con	0.00767747
TD	Con	0.606987
TD	Con	0.341038
TD	Con	0.234721
TD	Con	0.466948
TD	Con	0.0807847
TD	Con	0.466959
TD	Con	0.136212
TD	Con	0.354769
TD	Con	0.217967
TD	Con	0.869514
TD	Con	0.34244
TD	Con	0.338524
TD	Con	0.558137
TD	Con	0.317649
TD	Con	0.106665
TD	Con	1.00079e-12
TD	Con	0.0908077
TD	Con	0.289253
TD	Con	0.163369
TD	Con	0.219356
TD	Con	0.0160507
TD	Con	0.528639
TD	Con	0.20365
TD	Con	0.492992
TD	Con	0.234439
TD	Con	0.334071
TD	Con	0.415089
TD	Con	0.264133
TD	Con	0.0609812
TD	Con	0.262639
TD	Con	0.145619
TD	Con	0.179186
TD	Con	0.0709837
TD	Con	0.303616
TD	Con	0.599971
TD	Con	0.250705
TD	Con	1.04099
TD	Con	0.576262
TD	Con	0.287411
TD	Con	0.273873
TD	Con	0.751037
TD	Neo(C)	0.433088
TD	Neo(C)	0.663287
TD	Neo(C)	0.243886
TD	Neo(C)	0.481885
TD	Neo(C)	0.838437
TD	Neo(C)	0.37188
TD	Neo(C)	0.260647
TD	Neo(C)	0.112557
TD	Neo(C)	0.732624
TD	Neo(C)	0.358596
TD	Neo(C)	0.30277
TD	Neo(C)	0.491289
TD	Neo(C)	0.319787
TD	Neo(C)	0.332902
TD	Neo(C)	0.323913
TD	Neo(C)	0.223249
TD	Neo(C)	0.429074
TD	Neo(C)	0.399218
TD	Neo(C)	0.220478
TD	Neo(C)	0.608416
TD	Neo(C)	0.463693
TD	Neo(C)	0.563411
TD	Neo(C)	0.194082
TD	Neo(C)	0.444867
TD	Neo(C)	1.00039
TD	Neo(C)	0.222096
TD	Neo(C)	0.688494
TD	Neo(C)	0.36705
TD	Neo(C)	0.485087
TD	Neo(C)	1.90525
TD	Neo(C)	0.238199
TD	Neo(C)	0.44494
TD	Neo(C)	0.664107
TD	Neo(C)	0.386797
TD	Neo(C)	0.36473
TD	Neo(C)	0.272473
TD	Neo(C)	0.56301
TD	Neo(C)	0.145633
TD	Neo(C)	0.0985462
TD	Neo(C)	0.250836
TD	Neo(C)	0.469434
TD	Neo(C)	0.387844
TD	Neo(C)	0.443932
TD	Neo(C)	0.732701
TD	Neo(C)	0.228119
TD	Neo(C)	0.762772
TD	Neo(C)	0.47457
TD	Neo(C)	0.125415
TD	Neo(P)	0.148889
TD	Neo(P)	0.172308
TD	Neo(P)	0.197635
TD	Neo(P)	0.571936
TD	Neo(P)	0.220593
TD	Neo(P)	0.27107
TD	Neo(P)	0.71938
TD	Neo(P)	0.29429
TD	Neo(P)	0.38449
TD	Neo(P)	0.699907
TD	Neo(P)	0.344094
TD	Neo(P)	0.284379
TD	Neo(P)	0.198358
TD	Neo(P)	0.303418
TD	Neo(P)	0.791036
TD	Neo(P)	1.53576
TD	Neo(P)	0.454773
TD	Neo(P)	0.454222
TD	Neo(P)	0.405097
TD	Neo(P)	0.465192
TD	Neo(P)	0.385388
TD	Neo(P)	0.132092
TD	Neo(P)	0.430926
TD	Neo(P)	2.29066
TD	Neo(P)	0.646021
TD	Neo(P)	0.35428
