trajectory	role	TAD_location	n
Con	C	Boundary	185
Con	C	Interior	222
Con	C	Outside	10
Con	P	Boundary	203
Con	P	Interior	204
Con	P	Outside	10
Con	S	Boundary	2365
Con	S	Interior	2366
Con	S	Outside	111
Neo(C)	C	Boundary	150
Neo(C)	C	Interior	278
Neo(C)	C	Outside	5
Neo(C)	P	Boundary	221
Neo(C)	P	Interior	208
Neo(C)	P	Outside	4
Neo(C)	S	Boundary	2365
Neo(C)	S	Interior	2366
Neo(C)	S	Outside	111
Neo(P)	C	Boundary	27
Neo(P)	C	Interior	34
Neo(P)	P	Boundary	22
Neo(P)	P	Interior	39
Neo(P)	S	Boundary	2365
Neo(P)	S	Interior	2366
Neo(P)	S	Outside	111
Spe	C	Boundary	125
Spe	C	Interior	254
Spe	P	Boundary	147
Spe	P	Interior	231
Spe	P	Outside	1
Spe	S	Boundary	2365
Spe	S	Interior	2366
Spe	S	Outside	111
