duplication_type	pair_age	trajectory	count	percentage
PD	old	Con	28	30.76923076923077
PD	old	Neo(C)	9	9.89010989010989
PD	old	Neo(P)	10	10.989010989010989
PD	old	Spe	44	48.35164835164835
PD	young	Con	25	35.714285714285715
PD	young	Neo(C)	6	8.571428571428571
PD	young	Neo(P)	5	7.142857142857143
PD	young	Spe	34	48.57142857142857
TD	old	Con	39	27.857142857142858
TD	old	Neo(C)	26	18.571428571428573
TD	old	Neo(P)	15	10.714285714285714
TD	old	Spe	60	42.857142857142854
TD	young	Con	31	34.44444444444444
TD	young	Neo(C)	6	6.666666666666667
TD	young	Neo(P)	7	7.777777777777778
TD	young	Spe	46	51.111111111111114
TRD	old	Con	173	43.46733668341709
TRD	old	Neo(C)	145	36.4321608040201
TRD	old	Neo(P)	4	1.0050251256281406
TRD	old	Spe	76	19.09547738693467
TRD	young	Con	13	30.232558139534884
TRD	young	Neo(C)	15	34.883720930232556
TRD	young	Spe	15	34.883720930232556
