duplication_type	gene	age	TPM	log2_TPM_plus_1
TRD	Pbre1_15G599400	young	72.71526	6.2038914014182795
PD	Pbre1_17G215400	young	35.35342	5.184019189016969
TRD	Pbre1_05G141000	young	23.297466	4.602733956872352
PD	Pbre1_06G036400	young	0.0	0.0
TRD	Pbre1_06G329200	young	0.36643	0.450411554819363
TD	Pbre1_11G441000	young	68.533015	6.119626242036281
TRD	Pbre1_12G173000	young	8.136024	3.191566440612698
TD	Pbre1_10G517800	young	370.400388	8.536831512224643
TD	Pbre1_01G128400	young	4.024951	2.3291095281519296
TRD	Pbre1_13G349000	young	0.0	0.0
TD	Pbre1_17G224800	young	0.0	0.0
TD	Pbre1_09G406600	young	0.0	0.0
TRD	Pbre1_05G310800	young	0.0	0.0
TD	Pbre1_10G229800	young	0.0	0.0
TD	Pbre1_08G166800	young	5.908569	2.7883869102658436
PD	Pbre1_10G163200	young	0.0	0.0
TRD	Pbre1_15G338000	young	0.639806	0.7135251444816006
TRD	Pbre1_08G176200	young	0.017272	0.024705481146637103
TD	Pbre1_08G138000	young	4.515911	2.4635991789522365
PD	Pbre1_10G372400	young	10.906945	3.5737313990452537
PD	Pbre1_17G215800	young	9.873732	3.442775271116002
TRD	Pbre1_15G780200	young	1.360815	1.2392849924179967
TD	Pbre1_11G359600	young	0.0	0.0
TD	Pbre1_17G239200	young	0.104575	0.1434913801730907
PD	Pbre1_03G347600	young	6.447967	2.89684668070527
TRD	Pbre1_15G202000	young	24.753298	4.686685292370541
TRD	Pbre1_07G078000	young	0.040427	0.05717574409045669
TRD	Pbre1_09G393000	young	0.0	0.0
TRD	Pbre1_16G401400	young	0.045357	0.06399572141958695
TRD	Pbre1_09G394800	young	0.0	0.0
TRD	Pbre1_17G502800	young	0.07466	0.10388029339586695
PD	Pbre1_07G148800	young	3.080706	2.0288187734186134
TRD	Pbre1_11G085200	young	0.081928	0.11360449408232035
TRD	Pbre1_10G446600	young	0.621025	0.6969063407616229
TD	Pbre1_15G702000	young	0.55554	0.6374154935927477
TRD	Pbre1_16G369200	young	0.0	0.0
PD	Pbre1_12G277000	young	0.015124	0.021655967073932757
TRD	Pbre1_07G197000	young	0.029611	0.04209937199747297
PD	Pbre1_11G442800	young	0.290001	0.36737218401634464
TD	Pbre1_08G236600	young	0.016488	0.02359318375846504
PD	Pbre1_02G422400	young	8.369851	3.228026106233422
TRD	Pbre1_11G274800	young	0.0	0.0
TD	Pbre1_10G577000	young	0.0	0.0
TRD	Pbre1_17G251400	young	1.238391	1.1624620669177204
TRD	Pbre1_01G365600	young	0.121282	0.16514915846229647
TRD	Pbre1_17G264600	young	0.0	0.0
TRD	Pbre1_09G256200	young	0.0	0.0
PD	Pbre1_01G009800	young	0.254815	0.3274746803064809
TD	Pbre1_05G252600	young	1.440327	1.287074479619851
TD	Pbre1_11G448800	young	6.585772	2.9232960102542775
PD	Pbre1_01G141400	young	3.123021	2.043701809399323
PD	Pbre1_01G387000	young	0.0	0.0
TRD	Pbre1_04G139200	young	3.580393	2.1954713875857186
PD	Pbre1_01G201000	young	0.136439	0.18452024749994606
TRD	Pbre1_06G331200	young	9.234307	3.35534151073065
TRD	Pbre1_02G354800	young	0.411113	0.49683352160778893
TRD	Pbre1_11G183000	young	0.0	0.0
PD	Pbre1_01G326200	young	6.067783	2.8212577459407764
TRD	Pbre1_16G036000	young	0.0	0.0
PD	Pbre1_17G328600	young	23.104306	4.591218987812908
TD	Pbre1_03G219600	young	10.991457	3.583935056305818
TD	Pbre1_14G136200	young	4.796797	2.535255964270136
TD	Pbre1_07G446800	young	1.083279	1.0588560630762573
TRD	Pbre1_10G205600	young	61.252568	5.960061446356421
PD	Pbre1_09G158000	young	0.044873	0.06332759933515596
TRD	Pbre1_06G144200	young	3.010048	2.0036195057444113
