scenario	duplication_type	n_young	n_old	median_young	median_old	U	p_raw	p_BH_within_scenario
current_15DAF_unique_genes	TD	649	1812	1.166173609635751	0.9001457169791829	613773.5	0.0947320265476184	0.1420980398214276
current_15DAF_unique_genes	PD	591	1449	0.7665213820507979	0.902628548266382	414888.5	0.26786451281599866	0.26786451281599866
current_15DAF_unique_genes	TRD	224	2382	0.06645640600700885	1.7369577431212735	162807.5	2.1164604743120694e-22	6.349381422936208e-22
six_tissue_mean_unique_genes	TD	649	1812	2.0605670523786648	1.7051106642305154	618528.5	0.04923924435907947	0.0738588665386192
six_tissue_mean_unique_genes	PD	591	1449	1.4810270326730592	1.3932661750864446	428031.0	0.9902100747396485	0.9902100747396485
six_tissue_mean_unique_genes	TRD	224	2382	0.11925828502516977	1.8963629891370235	153041.0	3.639323678422349e-26	1.0917971035267047e-25
six_tissue_median_unique_genes	TD	649	1812	0.8118988433138864	0.6542410789750803	615607.0	0.07408880045495525	0.11113320068243288
six_tissue_median_unique_genes	PD	591	1449	0.5874192410111732	0.611693167419829	424272.0	0.7447339167646402	0.7447339167646402
six_tissue_median_unique_genes	TRD	224	2382	0.02422954927030899	1.449450357814037	154632.0	9.818163251113021e-26	2.9454489753339063e-25
ripe_fruit_from_six_tissue_dataset_unique_genes	TD	649	1812	0.4078041176156736	0.23111908824476987	620817.0	0.02947805531700767	0.0442170829755115
ripe_fruit_from_six_tissue_dataset_unique_genes	PD	591	1449	0.30262671508617417	0.343014332200451	417155.5	0.3478925062840632	0.3478925062840632
ripe_fruit_from_six_tissue_dataset_unique_genes	TRD	224	2382	0.0	1.2983477710032079	168847.0	1.6450391788098226e-20	4.9351175364294676e-20
six_tissue_mean_after_manuscript_low_expression_filter	TD	513	1335	2.951826825502283	2.7839487840156685	339460.0	0.7727124413453719	0.7727124413453718
six_tissue_mean_after_manuscript_low_expression_filter	PD	443	1028	2.1440137290881727	2.424655390551286	211987.0	0.03550828789453457	0.053262431841801856
six_tissue_mean_after_manuscript_low_expression_filter	TRD	91	1716	1.6660030129401973	3.0316500757610685	50214.0	9.222538184416418e-09	2.7667614553249254e-08
ripe_fruit_after_manuscript_low_expression_filter	TD	513	1335	1.0913857070381103	1.0857631943477173	343701.5	0.9007354084281479	0.9007354084281479
ripe_fruit_after_manuscript_low_expression_filter	PD	443	1028	0.9677890912332383	1.348257869864073	204761.0	0.002072705359895981	0.0031090580398439715
ripe_fruit_after_manuscript_low_expression_filter	TRD	91	1716	1.2529121358584165	2.588986449617079	55196.0	2.3533577344951958e-06	7.060073203485588e-06
six_tissue_mean_unambiguous_age_only	TD	595	1812	2.0473325323683733	1.7051106642305154	567555.5	0.0527007381847876	0.0790511072771814
six_tissue_mean_unambiguous_age_only	PD	548	1449	1.4924012457034148	1.3932661750864446	394853.0	0.8500509704186943	0.8500509704186943
six_tissue_mean_unambiguous_age_only	TRD	216	2382	0.14554948847561022	1.8963629891370235	150410.0	3.7797092501539144e-24	1.1339127750461743e-23
