duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_15G279600	Pbre1_15G279400	2.0470989524557464	1.3236358117833598
TD	15DAF	Pbre1_10G403000	Pbre1_10G402800	1.769954920274331	0.8431943653856356
TD	15DAF	Pbre1_03G089600	Pbre1_03G089400	6.6240448326093055	6.069702768039261
TD	15DAF	Pbre1_06G295800	Pbre1_06G295600	0.0	1.785774837289639
TD	15DAF	Pbre1_05G560400	Pbre1_05G560200	0.0	0.0
TD	15DAF	Pbre1_11G381800	Pbre1_11G381600	3.5908134922269794	5.275653954147841
TD	15DAF	Pbre1_11G455400	Pbre1_11G455200	3.5959266919499093	3.888806263467467
TD	15DAF	Pbre1_06G262200	Pbre1_06G262000	4.937719990154174	5.846887207695703
TD	15DAF	Pbre1_10G370000	Pbre1_10G369800	3.239130070143437	0.500346232163439
TD	15DAF	Pbre1_04G301400	Pbre1_04G301200	3.5698098058329073	0.0
TD	15DAF	Pbre1_09G065400	Pbre1_09G065200	6.467839296647616	5.038816559793836
TD	15DAF	Pbre1_14G010400	Pbre1_14G010200	0.48438565013528184	1.8589330586349242
TD	15DAF	Pbre1_15G707200	Pbre1_15G707000	0.0	0.34820408637973893
TD	15DAF	Pbre1_07G066000	Pbre1_07G065800	0.19072104371335916	0.5579550570941949
TD	15DAF	Pbre1_02G374000	Pbre1_02G373800	0.0	0.09949989427023541
TD	15DAF	Pbre1_16G315400	Pbre1_16G315200	0.0862783268083414	0.015122145804014704
TD	15DAF	Pbre1_14G132400	Pbre1_14G132200	0.4720717994160677	0.9538798135350467
TD	15DAF	Pbre1_09G470600	Pbre1_09G470400	0.0	0.0
TD	15DAF	Pbre1_05G317600	Pbre1_05G317400	1.6031047739449342	0.09622676369710652
TD	15DAF	Pbre1_07G082800	Pbre1_07G082600	3.2236883582266245	3.1353058393407314
TD	15DAF	Pbre1_03G471200	Pbre1_03G471000	4.98419125560753	9.334130859356295
TD	15DAF	Pbre1_09G334000	Pbre1_09G333800	0.29929624450627057	1.8086906513260417
TD	15DAF	Pbre1_15G702000	Pbre1_15G701800	0.6374154935927477	0.15378588387992959
TD	15DAF	Pbre1_11G358000	Pbre1_11G357800	0.0	0.0
TD	15DAF	Pbre1_07G492600	Pbre1_07G492400	0.0	0.036039064662084126
