duplication_type	gene	age	mean_ATAC_TSS_2kb
TRD	Pbre1_15G599400	young	0.39419457611814146
PD	Pbre1_17G215400	young	0.3424810663172976
TRD	Pbre1_05G141000	young	1.3466720750033854
PD	Pbre1_06G036400	young	0.19697920209914446
TRD	Pbre1_06G329200	young	0.5507895199116319
TD	Pbre1_11G441000	young	0.8455223685204982
TRD	Pbre1_12G173000	young	0.41890524039417515
TD	Pbre1_10G517800	young	1.1266620390359312
TD	Pbre1_01G128400	young	0.6086908540409058
TRD	Pbre1_13G349000	young	1.0292057368457317
TD	Pbre1_17G224800	young	0.4709198836050928
TD	Pbre1_09G406600	young	1.2312147295325997
TRD	Pbre1_05G310800	young	0.7978626751229168
TD	Pbre1_10G229800	young	0.28451193282566967
TD	Pbre1_08G166800	young	1.7890029610693454
PD	Pbre1_10G163200	young	0.3542360729407519
TRD	Pbre1_15G338000	young	0.6081992717161775
TRD	Pbre1_08G176200	young	0.5611940062195062
TD	Pbre1_08G138000	young	0.597887035490945
PD	Pbre1_10G372400	young	0.8476606195233763
PD	Pbre1_17G215800	young	0.27412157373502855
TRD	Pbre1_15G780200	young	0.9240114657133818
TD	Pbre1_11G359600	young	0.14262064157240092
TD	Pbre1_17G239200	young	0.49411144648864863
PD	Pbre1_03G347600	young	0.5397669606469572
TRD	Pbre1_15G202000	young	0.767147572670132
TRD	Pbre1_07G078000	young	0.7776873187944293
TRD	Pbre1_09G393000	young	1.051955009734258
TRD	Pbre1_16G401400	young	0.026364301968365905
TRD	Pbre1_09G394800	young	1.5980553708821534
TRD	Pbre1_17G502800	young	0.4024519334174693
PD	Pbre1_07G148800	young	0.48966509767062955
TRD	Pbre1_11G085200	young	0.9109219518154859
TRD	Pbre1_10G446600	young	1.122213538840413
TD	Pbre1_15G702000	young	0.45559524332731965
TRD	Pbre1_16G369200	young	0.352486677063629
PD	Pbre1_12G277000	young	0.3578857746087015
TRD	Pbre1_07G197000	young	0.00494517594575882
PD	Pbre1_11G442800	young	0.49525606271810824
TD	Pbre1_08G236600	young	0.1323850258504972
PD	Pbre1_02G422400	young	0.8477797237355261
TRD	Pbre1_11G274800	young	0.5823712632581591
TD	Pbre1_10G577000	young	1.2230279793590308
TRD	Pbre1_17G251400	young	0.6083463528398425
TRD	Pbre1_01G365600	young	0.5076767391618342
TRD	Pbre1_17G264600	young	0.995374115442857
TRD	Pbre1_09G256200	young	0.33612818510271614
PD	Pbre1_01G009800	young	0.0
TD	Pbre1_05G252600	young	0.4762441779747606
TD	Pbre1_11G448800	young	1.2467081635817885
PD	Pbre1_01G141400	young	1.066201914506033
PD	Pbre1_01G387000	young	0.41053437124565245
TRD	Pbre1_04G139200	young	0.411126945993863
PD	Pbre1_01G201000	young	1.0296076056212187
TRD	Pbre1_06G331200	young	1.265740360993892
TRD	Pbre1_02G354800	young	0.37453310736455026
TRD	Pbre1_11G183000	young	0.8536614806372672
PD	Pbre1_01G326200	young	0.07394466905202716
TRD	Pbre1_16G036000	young	0.20424050701037047
PD	Pbre1_17G328600	young	0.6964777924213558
TD	Pbre1_03G219600	young	0.6928209150042385
TD	Pbre1_14G136200	young	1.0145915670469403
TD	Pbre1_07G446800	young	0.4237686464861035
TRD	Pbre1_10G205600	young	0.5231533938869835
PD	Pbre1_09G158000	young	0.8222234059479089
TRD	Pbre1_06G144200	young	0.5126206538379192
TRD	Pbre1_14G197600	young	0.768188055690378
TD	Pbre1_11G132200	young	0.9069888642709703
PD	Pbre1_11G336600	young	0.3521493687853217
PD	Pbre1_08G036600	young	0.4690935869608074
TD	Pbre1_08G347000	young	0.31096110558137297
PD	Pbre1_10G029800	young	1.4666900605745614
PD	Pbre1_03G420200	young	0.44807548777572814
TD	Pbre1_10G108400	young	0.8079758200999351
TRD	Pbre1_17G503000	young	0.744264672609046
TD	Pbre1_14G174600	young	0.3295798053853214
PD	Pbre1_02G486600	young	1.3824214177429677
TD	Pbre1_14G268400	young	0.26189095168747006
TD	Pbre1_04G378800	young	0.9195600973162801
TD	Pbre1_08G255600	young	0.2000226804614067
PD	Pbre1_01G325800	young	0.3731261234115809
TD	Pbre1_11G152400	young	0.16437590151187034
TRD	Pbre1_13G439600	young	0.06355282050557436
PD	Pbre1_02G452200	young	0.1262914220076054
TD	Pbre1_11G406600	young	1.4462659295368938
TRD	Pbre1_12G119800	young	0.1558150421399623
TRD	Pbre1_07G131000	young	0.11903147421777249
TRD	Pbre1_16G435200	young	0.4806690308544785
TRD	Pbre1_08G177000	young	0.6312953482419252
TD	Pbre1_05G256600	young	1.1277413589991627
TD	Pbre1_07G091800	young	0.46743178712949157
PD	Pbre1_01G216600	young	0.48259698302485055
TD	Pbre1_10G281400	young	0.8348962934035808
TRD	Pbre1_03G412400	young	0.505586262778379
TRD	Pbre1_05G107200	young	0.6141222806088626
PD	Pbre1_01G418200	young	0.521400887530297
TD	Pbre1_07G108600	young	0.134490324893035
TD	Pbre1_12G404000	young	0.847783593479544
TD	Pbre1_07G013000	young	1.0213815003111957
TRD	Pbre1_12G012200	young	0.6312820809241384
TD	Pbre1_14G446200	young	0.5909292861334979
PD	Pbre1_11G100600	young	0.531100480871275
PD	Pbre1_14G165400	young	0.0771446049530059
PD	Pbre1_07G141200	young	1.3166878041625023
TD	Pbre1_15G705200	young	0.7540096041085199
TRD	Pbre1_10G182200	young	0.3447216371912509
TD	Pbre1_07G108200	young	0.7693119969591499
TRD	Pbre1_14G086800	young	0.7946757171303033
TD	Pbre1_09G274400	young	0.9813628374040126
PD	Pbre1_04G390200	young	0.20332495089061559
TRD	Pbre1_10G501600	young	0.09882938666827977
TRD	Pbre1_13G445800	young	0.5055972836818545
PD	Pbre1_01G200200	young	0.42510162172652777
TRD	Pbre1_15G599800	young	0.8271722791977225
TD	Pbre1_05G553000	young	0.007062169946730137
TRD	Pbre1_04G113200	young	0.3946413647942245
TD	Pbre1_05G029000	young	0.5773721306156367
PD	Pbre1_01G327400	young	0.4665900186374784
PD	Pbre1_09G228600	young	0.6443597747422756
TRD	Pbre1_14G110200	young	0.6443855267632752
TRD	Pbre1_10G061400	young	0.07829264864884318
PD	Pbre1_03G198200	young	0.41224088888615373
PD	Pbre1_13G464200	young	0.13215182119049132
TD	Pbre1_02G457000	young	1.5966710696760564
PD	Pbre1_17G116600	young	0.2709491620734334
PD	Pbre1_04G061600	young	0.3545045576654374
TRD	Pbre1_06G149800	young	0.3684966856408864
PD	Pbre1_09G198200	young	0.4092564745265991
TD	Pbre1_04G017400	young	0.7970566584561021
TD	Pbre1_12G411400	young	0.39724249277263884
TRD	Pbre1_07G475600	young	0.4474110497497022
TRD	Pbre1_14G217600	young	1.1254321194961667
TD	Pbre1_15G702200	young	0.4084645356051624
TD	Pbre1_03G068000	young	1.356568909652531
TD	Pbre1_11G149200	young	0.7054736156519503
TD	Pbre1_17G357600	young	0.7626927310284228
TD	Pbre1_06G007000	young	0.6396608065161853
PD	Pbre1_09G183400	young	0.8088768928460777
PD	Pbre1_01G107200	young	0.21277948245219885
TD	Pbre1_07G083800	young	0.14390560726076365
TRD	Pbre1_16G436000	young	0.46500123819708816
TRD	Pbre1_06G347600	young	0.33319311140291397
TD	Pbre1_03G036400	young	1.1991439617425204
PD	Pbre1_13G042600	young	0.49595211026631303
PD	Pbre1_08G090400	young	0.5572974512726068
TD	Pbre1_11G112800	young	2.406979036100209
PD	Pbre1_17G222800	young	0.7614756728429348
TD	Pbre1_03G205200	young	1.3166104064136745
PD	Pbre1_13G350600	young	0.3339588718209416
TD	Pbre1_14G100000	young	0.825803742185235
PD	Pbre1_01G141000	young	1.4567087675184012
PD	Pbre1_17G325800	young	0.7013515587076545
PD	Pbre1_17G390400	young	0.9621076156832278
TRD	Pbre1_15G627000	young	0.8450036540627479
TRD	Pbre1_15G422000	young	0.4334315687417984
TRD	Pbre1_11G020600	young	0.6187720971331
PD	Pbre1_09G330400	young	1.38054690349102
TRD	Pbre1_14G165600	young	0.11059396759513766
PD	Pbre1_12G109000	young	0.3465086697991937
PD	Pbre1_08G321000	young	0.6346869264170527
TD	Pbre1_05G575600	young	0.6104167719744146
TRD	Pbre1_12G306200	young	0.38547581949830056
TRD	Pbre1_11G247000	young	0.08405235870741308
TD	Pbre1_11G080200	young	0.9625330554097891
PD	Pbre1_14G147600	young	0.7498520299606025
PD	Pbre1_07G209600	young	0.5184029278084636
TRD	Pbre1_10G282800	young	1.1611613209526985
PD	Pbre1_10G239000	young	0.10198773997463287
TRD	Pbre1_17G319400	young	0.8279121770113708
PD	Pbre1_03G197400	young	1.2915391147360205
