duplication_type	age	TAD_location	count	percentage
PD	old	Boundary	363	35.834155972359326
PD	old	Interior	650	64.16584402764067
PD	young	Boundary	166	28.424657534246577
PD	young	Interior	418	71.57534246575342
TD	old	Boundary	515	37.31884057971014
TD	old	Interior	865	62.68115942028986
TD	young	Boundary	189	29.166666666666668
TD	young	Interior	459	70.83333333333334
TRD	old	Boundary	920	43.13173933427098
TRD	old	Interior	1213	56.86826066572902
TRD	young	Boundary	65	29.545454545454547
TRD	young	Interior	155	70.45454545454545
