duplication_type	gene	age	TSS_5kb_contact_reads	contact_CPM	log2_contact_CPM_plus_1
TRD	Pbre1_15G599400	young	3997.0	6.6011175419498045	2.926211544043369
PD	Pbre1_17G215400	young	5033.0	8.312090214819456	3.2191050350333734
TRD	Pbre1_05G141000	young	3950.0	6.523496194821548	2.91140324312373
PD	Pbre1_06G036400	young	2287.0	3.777021720900476	2.2561114366928203
TRD	Pbre1_06G329200	young	6776.0	11.190686130660964	3.607707422604694
TD	Pbre1_11G441000	young	6175.0	10.198123798233686	3.4851851295160383
TRD	Pbre1_12G173000	young	5517.0	9.111424938438097	3.3379144162390166
TD	Pbre1_10G517800	young	6997.0	11.55567161396617	3.65026729659302
TD	Pbre1_01G128400	young	6999.0	11.55897465001418	3.6506467782471694
TRD	Pbre1_13G349000	young	10057.0	16.60931676742286	4.138267029305045
TD	Pbre1_17G224800	young	5598.0	9.24519789838254	3.35687594690442
TD	Pbre1_09G406600	young	11527.0	19.037048262710883	4.324598089927534
TRD	Pbre1_05G310800	young	8434.0	13.92890301446201	3.9000362540811846
TD	Pbre1_10G229800	young	3810.0	6.292283671460785	2.8663706836274074
TD	Pbre1_08G166800	young	12574.0	20.766187633844595	4.44401683528485
PD	Pbre1_10G163200	young	1689.0	2.789413942545214	1.921974743498867
TRD	Pbre1_15G338000	young	8348.0	13.78687246439754	3.886245038653633
TRD	Pbre1_08G176200	young	5917.0	9.772032148040278	3.4292185354234204
TD	Pbre1_08G138000	young	5427.0	8.962788316277605	3.3165495703146686
PD	Pbre1_10G372400	young	5613.0	9.269970668742621	3.360360156181251
PD	Pbre1_17G215800	young	4510.0	7.448346288264603	3.078668970364351
TRD	Pbre1_15G780200	young	5718.0	9.443380061263193	3.3845168190939914
TD	Pbre1_11G359600	young	3360.0	5.54910056065833	2.7112967836302913
TD	Pbre1_17G239200	young	5137.0	8.483848089316025	3.2454725541584213
PD	Pbre1_03G347600	young	3860.0	6.374859572661058	2.8826155787510865
TRD	Pbre1_15G202000	young	7542.0	12.455748937049144	3.7501507874410627
TRD	Pbre1_07G078000	young	5187.0	8.566423990516297	3.257979733981526
TRD	Pbre1_09G393000	young	8692.0	14.354994664655418	3.940636105913198
TRD	Pbre1_16G401400	young	3976.0	6.56643566344569	2.919613846886546
TRD	Pbre1_09G394800	young	10357.0	17.1047721746245	4.178298117345892
TRD	Pbre1_17G502800	young	9963.0	16.45407407316635	4.125491919811088
PD	Pbre1_07G148800	young	3830.0	6.325314031940893	2.8728906083557217
TRD	Pbre1_11G085200	young	7802.0	12.885143623290562	3.7954701948772085
TRD	Pbre1_10G446600	young	9716.0	16.046149121237004	4.091373953129057
TD	Pbre1_15G702000	young	4681.0	7.730755870369536	3.1261065614409
TRD	Pbre1_16G369200	young	5511.0	9.101515830294064	3.336499894474189
PD	Pbre1_12G277000	young	3547.0	5.85793443114735	2.777774110702423
TRD	Pbre1_07G197000	young	605.0	0.9991684045233004	0.9994000059181326
PD	Pbre1_11G442800	young	4961.0	8.193180917091064	3.2005641323836174
TD	Pbre1_08G236600	young	1708.0	2.8207927850013177	1.9338720174030004
PD	Pbre1_02G422400	young	8454.0	13.961933374942118	3.9032247066248917
TRD	Pbre1_11G274800	young	4262.0	7.03876981831125	3.0069747411040977
TD	Pbre1_10G577000	young	10179.0	16.81080196635153	4.154680572968106
