duplication_type	metric	effect_type	hapA	hapB	hapA_direction	hapB_direction	direction_concordant
PD	ATAC	rank_biserial	-0.3538565887042075	-0.2544258746961141	-1.0	-1.0	True
PD	A_compartment	odds_ratio	1.059959614382491	1.249635009854734	1.0	1.0	True
PD	PC1	rank_biserial	0.0131575939093258	0.0330559302529398	1.0	1.0	True
PD	TAD_boundary	odds_ratio	0.7641868042356774	0.9572259136212624	-1.0	-1.0	True
PD	any_loop	odds_ratio	0.4974954687757456	0.6960072595281307	-1.0	-1.0	True
PD	contact	rank_biserial	-0.2060784806846674	-0.1129160093585435	-1.0	-1.0	True
PD	expression	rank_biserial	-0.0061120129251545	0.015603923272137	-1.0	1.0	False
TD	ATAC	rank_biserial	-0.3522632837369041	-0.3231649423280714	-1.0	-1.0	True
TD	A_compartment	odds_ratio	1.2928859060402684	1.3153967194354377	1.0	1.0	True
TD	PC1	rank_biserial	-0.0041286117696063	0.0414943859455685	-1.0	1.0	False
TD	TAD_boundary	odds_ratio	0.6876357739497598	0.7582805429864253	-1.0	-1.0	True
TD	any_loop	odds_ratio	0.5417272462925269	0.6932525794282078	-1.0	-1.0	True
TD	contact	rank_biserial	-0.2076475284480136	-0.1577141947063111	-1.0	-1.0	True
TD	expression	rank_biserial	0.0739066427362364	0.0794910904067969	1.0	1.0	True
TRD	ATAC	rank_biserial	-0.6248311688311688	-0.6233896103896104	-1.0	-1.0	True
TRD	A_compartment	odds_ratio	0.4352408263164624	0.3880837359098228	-1.0	-1.0	True
TRD	PC1	rank_biserial	-0.328012987012987	-0.3316558441558441	-1.0	-1.0	True
TRD	TAD_boundary	odds_ratio	0.5258207934336525	0.5185070191390743	-1.0	-1.0	True
TRD	any_loop	odds_ratio	0.3065015479876161	0.4350073855243722	-1.0	-1.0	True
TRD	contact	rank_biserial	-0.3307987012987012	-0.2866428571428571	-1.0	-1.0	True
TRD	expression	rank_biserial	-0.4102012987012987	-0.3898246753246753	-1.0	-1.0	True
