haplotype	duplication_type	metric	effect_type	effect	ci_low	ci_high	n_young	n_old	median_young	median_old	pvalue	p_BH
hapA	TD	expression	rank_biserial	0.0739066427362364			459	1067	1.4942317734785586	0.9641686699134712	0.0210039779318111	0.0315059668977167
hapA	TD	ATAC	rank_biserial	-0.3522632837369041			459	1067	0.7884005283117295	1.018905809625983	8.578530652712505e-28	3.602982874139252e-26
hapA	TD	PC1	rank_biserial	-0.0041286117696063			459	1067	0.013385833044	0.014615274355	0.8981468346815266	0.8981468346815266
hapA	TD	contact	rank_biserial	-0.2076475284480136			459	1067	3.608098264286806	3.7350206024977695	1.1870107120641586e-10	5.539383322966074e-10
hapA	TD	A_compartment	odds_ratio	1.2928859060402684	1.008600106652037	1.6573010006772144	459	1067			0.048089023034661	0.0631168427329925
hapA	TD	TAD_boundary	odds_ratio	0.6876357739497598	0.543363306425739	0.8702151065846921	458	1067			0.0019623109351584	0.0037462299671207
hapA	TD	any_loop	odds_ratio	0.5417272462925269	0.413626402785323	0.7095011522463127	459	1067			1.2397570355081384e-05	2.740515552175885e-05
hapA	PD	expression	rank_biserial	-0.0061120129251545			382	687	0.881112973112147	0.9164896381888414	0.8675904431781629	0.8887511856947036
hapA	PD	ATAC	rank_biserial	-0.3538565887042075			382	687	0.706058010045439	0.9391732760909944	8.115048417185038e-22	6.816640670435433e-21
hapA	PD	PC1	rank_biserial	0.0131575939093258			382	687	0.0071000097275	0.006012385635	0.721238353254881	0.7767182265821795
hapA	PD	contact	rank_biserial	-0.2060784806846674			382	687	3.538753919469629	3.6767791735158273	2.2720925370742345e-08	9.542788655711785e-08
hapA	PD	A_compartment	odds_ratio	1.059959614382491	0.8213242156643761	1.367930425883107	382	687			0.6967633690283275	0.7701068815576251
hapA	PD	TAD_boundary	odds_ratio	0.7641868042356774	0.5848322308820519	0.998545293728372	378	687			0.0514077963987659	0.0654281045075203
hapA	PD	any_loop	odds_ratio	0.4974954687757456	0.3671249149135334	0.6741622031037892	382	687			7.493774384343267e-06	1.7862974465770957e-05
hapA	TRD	expression	rank_biserial	-0.4102012987012987			100	1540	0.0941734631241119	2.4163868099718395	4.624286429034492e-12	3.090807561904155e-11
hapA	TRD	ATAC	rank_biserial	-0.6248311688311688			100	1540	0.6195021278141066	1.0699808994829656	1.0237831708288594e-25	1.850654433272199e-24
hapA	TRD	PC1	rank_biserial	-0.328012987012987			100	1540	-0.00242890632	0.01050767273	3.7205050572846375e-08	1.202009326199652e-07
hapA	TRD	contact	rank_biserial	-0.3307987012987012			100	1540	3.4636067309266325	3.705463379378679	2.8506342008573026e-08	9.977219703000561e-08
hapA	TRD	A_compartment	odds_ratio	0.4352408263164624	0.2897631673246099	0.6537565786628122	100	1540			7.462563995723609e-05	0.0001567138439101
hapA	TRD	TAD_boundary	odds_ratio	0.5258207934336525	0.338180827837242	0.817572978856928	98	1508			0.0044359420858894	0.0074523827042942
hapA	TRD	any_loop	odds_ratio	0.3065015479876161	0.1976733385725989	0.4752446617089066	100	1540			6.54797389996804e-07	1.964392169990412e-06
hapB	TD	expression	rank_biserial	0.0794910904067969			459	1067	1.4962649657857996	0.9604916931424912	0.0131079755285402	0.020390184155507
hapB	TD	ATAC	rank_biserial	-0.3231649423280714			459	1067	0.809765053698793	1.0263308396041393	1.1928194874681396e-23	1.2524604618415463e-22
hapB	TD	PC1	rank_biserial	0.0414943859455685			459	1067	0.020698654078	0.018186210902	0.1980742957463911	0.2376891548956693
hapB	TD	contact	rank_biserial	-0.1577141947063111			459	1067	3.612516220853448	3.7148560301392206	9.976809133176182e-07	2.7935065572893308e-06
hapB	TD	A_compartment	odds_ratio	1.3153967194354377	1.0242673971890313	1.689274240545007	459	1067			0.0348279369396158	0.0471862371439957
hapB	TD	TAD_boundary	odds_ratio	0.7582805429864253	0.5978350579857895	0.961785987942941	458	1067			0.0242155358975487	0.0339017502565681
hapB	TD	any_loop	odds_ratio	0.6932525794282078	0.5254076948641168	0.9147165973809316	459	1067			0.0101880851396842	0.0164576759948745
hapB	PD	expression	rank_biserial	0.015603923272137			382	687	0.8989215065062	0.8855993526482853	0.6702563634257205	0.7608315476724395
hapB	PD	ATAC	rank_biserial	-0.2544258746961141			382	687	0.7819250241182745	0.9702680540159344	5.151345936506925e-12	3.090807561904155e-11
hapB	PD	PC1	rank_biserial	0.0330559302529398			382	687	0.0132326467274999	0.011877931262	0.3699544819723533	0.4316135623010789
hapB	PD	contact	rank_biserial	-0.1129160093585435			382	687	3.5897913074175696	3.693424399412137	0.0021927050323124	0.0040040700590054
hapB	PD	A_compartment	odds_ratio	1.249635009854734	0.9635218471779304	1.6207080954400692	382	687			0.1005926653495233	0.1242615277847053
hapB	PD	TAD_boundary	odds_ratio	0.9572259136212624	0.7314231358298063	1.2527378542224137	378	685			0.7842854182224035	0.8234996891335238
hapB	PD	any_loop	odds_ratio	0.6960072595281307	0.5099483267213137	0.9499513576805932	382	687			0.0231725547621817	0.033560251724539
hapB	TRD	expression	rank_biserial	-0.3898246753246753			100	1540	0.1123597265596046	2.419751933719009	4.9010996854586296e-11	2.5730773348657805e-10
