duplication_type	trajectory	capture_state	n	loop_set	fraction
PD	Con	both	1	Primary	0.015873015873015872
PD	Con	child_only	3	Primary	0.047619047619047616
PD	Con	neither	54	Primary	0.8571428571428571
PD	Con	parent_only	5	Primary	0.07936507936507936
PD	Neo(C)	child_only	1	Primary	0.041666666666666664
PD	Neo(C)	neither	22	Primary	0.9166666666666666
PD	Neo(C)	parent_only	1	Primary	0.041666666666666664
PD	Neo(P)	neither	21	Primary	0.9130434782608695
PD	Neo(P)	parent_only	2	Primary	0.08695652173913043
PD	Spe	both	2	Primary	0.02127659574468085
PD	Spe	child_only	11	Primary	0.11702127659574468
PD	Spe	neither	76	Primary	0.8085106382978723
PD	Spe	parent_only	5	Primary	0.05319148936170213
TD	Con	both	4	Primary	0.046511627906976744
TD	Con	child_only	2	Primary	0.023255813953488372
TD	Con	neither	77	Primary	0.8953488372093024
TD	Con	parent_only	3	Primary	0.03488372093023256
TD	Neo(C)	both	2	Primary	0.041666666666666664
TD	Neo(C)	child_only	4	Primary	0.08333333333333333
TD	Neo(C)	neither	39	Primary	0.8125
TD	Neo(C)	parent_only	3	Primary	0.0625
TD	Neo(P)	both	2	Primary	0.0625
TD	Neo(P)	child_only	1	Primary	0.03125
TD	Neo(P)	neither	28	Primary	0.875
TD	Neo(P)	parent_only	1	Primary	0.03125
TD	Spe	both	8	Primary	0.05714285714285714
TD	Spe	child_only	6	Primary	0.04285714285714286
TD	Spe	neither	116	Primary	0.8285714285714286
TD	Spe	parent_only	10	Primary	0.07142857142857142
TRD	Con	both	7	Primary	0.026119402985074626
TRD	Con	child_only	26	Primary	0.09701492537313433
TRD	Con	neither	208	Primary	0.7761194029850746
TRD	Con	parent_only	27	Primary	0.10074626865671642
TRD	Neo(C)	both	2	Primary	0.00554016620498615
TRD	Neo(C)	child_only	33	Primary	0.09141274238227147
TRD	Neo(C)	neither	293	Primary	0.8116343490304709
TRD	Neo(C)	parent_only	33	Primary	0.09141274238227147
TRD	Neo(P)	child_only	1	Primary	0.16666666666666666
TRD	Neo(P)	neither	4	Primary	0.6666666666666666
TRD	Neo(P)	parent_only	1	Primary	0.16666666666666666
TRD	Spe	both	3	Primary	0.020689655172413793
TRD	Spe	child_only	14	Primary	0.09655172413793103
TRD	Spe	neither	116	Primary	0.8
TRD	Spe	parent_only	12	Primary	0.08275862068965517
PD	Con	child_only	2	Strict	0.031746031746031744
PD	Con	neither	57	Strict	0.9047619047619048
PD	Con	parent_only	4	Strict	0.06349206349206349
PD	Neo(C)	neither	24	Strict	1.0
PD	Neo(P)	neither	21	Strict	0.9130434782608695
PD	Neo(P)	parent_only	2	Strict	0.08695652173913043
PD	Spe	both	1	Strict	0.010638297872340425
PD	Spe	child_only	8	Strict	0.0851063829787234
PD	Spe	neither	82	Strict	0.8723404255319149
PD	Spe	parent_only	3	Strict	0.031914893617021274
TD	Con	both	4	Strict	0.046511627906976744
TD	Con	child_only	2	Strict	0.023255813953488372
TD	Con	neither	77	Strict	0.8953488372093024
TD	Con	parent_only	3	Strict	0.03488372093023256
TD	Neo(C)	both	2	Strict	0.041666666666666664
TD	Neo(C)	child_only	3	Strict	0.0625
TD	Neo(C)	neither	40	Strict	0.8333333333333334
TD	Neo(C)	parent_only	3	Strict	0.0625
TD	Neo(P)	both	1	Strict	0.03125
TD	Neo(P)	child_only	1	Strict	0.03125
TD	Neo(P)	neither	29	Strict	0.90625
TD	Neo(P)	parent_only	1	Strict	0.03125
TD	Spe	both	7	Strict	0.05
TD	Spe	child_only	5	Strict	0.03571428571428571
TD	Spe	neither	120	Strict	0.8571428571428571
TD	Spe	parent_only	8	Strict	0.05714285714285714
TRD	Con	both	6	Strict	0.022388059701492536
TRD	Con	child_only	22	Strict	0.08208955223880597
TRD	Con	neither	216	Strict	0.8059701492537313
TRD	Con	parent_only	24	Strict	0.08955223880597014
TRD	Neo(C)	both	2	Strict	0.00554016620498615
TRD	Neo(C)	child_only	29	Strict	0.08033240997229917
TRD	Neo(C)	neither	302	Strict	0.8365650969529086
TRD	Neo(C)	parent_only	28	Strict	0.07756232686980609
TRD	Neo(P)	neither	5	Strict	0.8333333333333334
TRD	Neo(P)	parent_only	1	Strict	0.16666666666666666
TRD	Spe	both	3	Strict	0.020689655172413793
TRD	Spe	child_only	14	Strict	0.09655172413793103
TRD	Spe	neither	118	Strict	0.8137931034482758
TRD	Spe	parent_only	10	Strict	0.06896551724137931
