gene	TPM	log2_TPM_plus_1	group
Pbre1_10G000200	0.242242	0.31294625100656537	Cis-associated
Pbre1_10G000400	0.0	0.0	Cis-associated
Pbre1_10G000600	0.0	0.0	Cis-associated
Pbre1_10G000800	15.921481	4.08078393626791	Cis-associated
Pbre1_10G001000	11.68737	3.6653211348154286	Cis-associated
Pbre1_10G001200	300.551467	8.236260443472007	Cis-associated
Pbre1_10G001400	32.668245	5.073316615702887	Cis-associated
Pbre1_10G001600	0.0	0.0	Cis-associated
Pbre1_10G001800	0.790887	0.8406743101420148	Cis-associated
Pbre1_10G002000	0.019465	0.02781224598403379	Cis-associated
Pbre1_10G002200	0.01828	0.026134318847747938	Cis-associated
Pbre1_10G002400	0.0	0.0	Cis-associated
Pbre1_10G002600	1.329143	1.2197992179333037	Cis-associated
Pbre1_10G002800	17.360871	4.198562593594162	Cis-associated
Pbre1_10G003000	0.0	0.0	Cis-associated
Pbre1_10G003200	0.0	0.0	Cis-associated
Pbre1_10G003400	1.082804	1.0585270825219133	Cis-associated
Pbre1_10G003600	33.011139	5.087935416197339	Cis-associated
Pbre1_10G003800	31.798473	5.035556743675565	Cis-associated
Pbre1_10G004200	22.148329	4.532836148829766	Cis-associated
Pbre1_10G004400	40.153451	5.3629415105118925	Cis-associated
Pbre1_10G004600	48.637345	5.633354045614079	Cis-associated
Pbre1_10G004800	12.37241	3.74118758886938	Cis-associated
Pbre1_10G005000	6.189341	2.8458595342800805	Cis-associated
Pbre1_10G005200	8.1408	3.192320435034499	Cis-associated
Pbre1_10G005400	26.650522	4.789234811502959	Cis-associated
Pbre1_10G005600	39.551666	5.341689281353705	Cis-associated
Pbre1_10G005800	1.642222	1.4017516871917728	Cis-associated
Pbre1_10G006000	7.210149	3.0374084046596566	Cis-associated
Pbre1_10G006200	11.507034	3.6446677947963555	Cis-associated
Pbre1_10G006400	0.346145	0.4288338182053121	Cis-associated
Pbre1_10G006600	10.82361	3.5635986831896354	Cis-associated
Pbre1_10G007400	11.925799	3.692181557455411	Cis-associated
Pbre1_10G007600	7.945936	3.1612324372143097	Cis-associated
Pbre1_10G007800	2.115846	1.6396239302780538	Cis-associated
