duplication_type	two_method_agreement	n	median	mean
TD	Conservation	86	0.5020888793166475	0.5292773879625942
TD	Specialization	140	0.7941679135258266	0.7807288264620021
TD	Neofunctionalization(Child)	48	0.5338347015192646	0.5846901485654501
TD	Neofunctionalization(Parent)	32	0.5991550251990455	0.6355445385927355
PD	Specialization	94	0.7825975430464578	0.769702671664627
PD	Conservation	63	0.4856514858128229	0.4931399606831347
PD	Neofunctionalization(Child)	24	0.5867163616118124	0.5934574389530516
PD	Neofunctionalization(Parent)	23	0.4415744104977117	0.4640872612720938
TRD	Neofunctionalization(Child)	361	0.5172144627792571	0.5295964984734965
TRD	Specialization	145	0.8570972363294622	0.8083762577434344
TRD	Conservation	268	0.4593156154631878	0.46869949302225355
TRD	Neofunctionalization(Parent)	6	0.555300789941279	0.5510124353118161
