sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
merged	50000	9942	9918	21518349.000000	2164.38835244
merged	100000	9925	9898	10649961.000000	1073.04392947
merged	150000	9908	9884	7202147.000000	726.902200242
merged	200000	9891	9862	5371536.000000	543.073096755
merged	250000	9874	9849	4240801.000000	429.491695362
merged	300000	9857	9831	3484083.000000	353.462818302
merged	350000	9840	9816	2951507.000000	299.949898374
merged	400000	9823	9799	2557110.000000	260.318639927
merged	450000	9806	9783	2256122.000000	230.075667958
merged	500000	9789	9765	2015550.000000	205.899479007
merged	550000	9772	9744	1828116.000000	187.076954564
merged	600000	9755	9724	1670867.000000	171.283136853
merged	650000	9738	9709	1541648.000000	158.312589854
merged	700000	9721	9694	1431282.000000	147.236086822
merged	750000	9704	9675	1337689.000000	137.849237428
merged	800000	9687	9655	1254984.000000	129.553422112
merged	850000	9670	9639	1183643.000000	122.403619442
merged	900000	9653	9620	1122977.000000	116.334507407
merged	950000	9636	9608	1066212.000000	110.648816936
merged	1000000	9619	9590	1016094.000000	105.634057594
merged	1050000	9602	9574	972308.000000	101.260987294
merged	1100000	9585	9559	934276.000000	97.4727177882
merged	1150000	9568	9541	896428.000000	93.6902173913
merged	1200000	9551	9527	865615.000000	90.6308239975
merged	1250000	9534	9508	835250.000000	87.6075099643
merged	1300000	9517	9486	806829.000000	84.7776610276
merged	1350000	9500	9467	784070.000000	82.5336842105
merged	1400000	9483	9454	762289.000000	80.3847938416
merged	1450000	9466	9436	738023.000000	77.9656665962
merged	1500000	9449	9418	717858.000000	75.9718488729
merged	1550000	9432	9400	702252.000000	74.4541984733
merged	1600000	9415	9388	683167.000000	72.5615507169
merged	1650000	9398	9364	664368.000000	70.6924877634
merged	1700000	9381	9351	648668.000000	69.1469992538
merged	1750000	9364	9334	635511.000000	67.8674711662
merged	1800000	9347	9315	621539.000000	66.4960950037
merged	1850000	9330	9295	610945.000000	65.4817792069
merged	1900000	9313	9282	597611.000000	64.1695479437
merged	1950000	9296	9261	587510.000000	63.2003012048
merged	2000000	9279	9243	575047.000000	61.9729496713
merged	2050000	9262	9225	565617.000000	61.0685597063
merged	2100000	9245	9209	555659.000000	60.1037317469
merged	2150000	9228	9196	544738.000000	59.0309926311
merged	2200000	9211	9172	535896.000000	58.1800021713
merged	2250000	9194	9161	524508.000000	57.0489449641
merged	2300000	9177	9143	516319.000000	56.2622861502
merged	2350000	9160	9128	505900.000000	55.2292576419
merged	2400000	9143	9106	498606.000000	54.5341791535
merged	2450000	9126	9089	490977.000000	53.7998027613
merged	2500000	9109	9073	483234.000000	53.0501701614
merged	2550000	9092	9053	475179.000000	52.2634183898
merged	2600000	9075	9042	468036.000000	51.574214876
merged	2650000	9058	9019	461601.000000	50.9605873261
merged	2700000	9041	9009	453205.000000	50.1277513549
merged	2750000	9024	8981	445910.000000	49.413785461
merged	2800000	9007	8968	439676.000000	48.8149217275
merged	2850000	8990	8945	431761.000000	48.026807564
merged	2900000	8973	8936	426544.000000	47.5363869386
merged	2950000	8956	8915	421357.000000	47.0474542206
merged	3000000	8939	8893	414718.000000	46.3942275422
merged	3050000	8922	8887	409708.000000	45.9210939251
merged	3100000	8905	8865	404504.000000	45.4243683324
merged	3150000	8888	8843	397907.000000	44.7690144014
merged	3200000	8871	8826	394445.000000	44.4645474016
merged	3250000	8854	8811	389002.000000	43.9351705444
merged	3300000	8837	8793	383263.000000	43.3702614009
merged	3350000	8820	8767	378358.000000	42.8977324263
merged	3400000	8803	8757	374016.000000	42.4873338635
merged	3450000	8786	8743	368724.000000	41.9672205782
merged	3500000	8769	8717	364317.000000	41.5460143688
merged	3550000	8752	8700	358400.000000	40.9506398537
merged	3600000	8735	8683	354823.000000	40.6208357184
merged	3650000	8718	8658	349791.000000	40.1228492774
merged	3700000	8701	8650	346247.000000	39.793931732
merged	3750000	8684	8631	341341.000000	39.3068862275
merged	3800000	8667	8606	337113.000000	38.8961578401
merged	3850000	8650	8594	333575.000000	38.563583815
merged	3900000	8633	8577	330958.000000	38.3363836442
merged	3950000	8616	8573	325700.000000	37.8017641597
merged	4000000	8599	8559	321133.000000	37.3453889987
merged	4050000	8582	8524	318496.000000	37.1120950827
merged	4100000	8565	8510	314055.000000	36.6672504378
merged	4150000	8548	8501	310270.000000	36.297379504
merged	4200000	8531	8472	306995.000000	35.9858164342
merged	4250000	8514	8463	302444.000000	35.5231383603
merged	4300000	8497	8441	300061.000000	35.3137577969
merged	4350000	8480	8420	297064.000000	35.0311320755
merged	4400000	8463	8405	291836.000000	34.4837528063
merged	4450000	8446	8393	289969.000000	34.3321098745
merged	4500000	8429	8372	285880.000000	33.916241547
merged	4550000	8412	8359	283944.000000	33.754636234
merged	4600000	8395	8332	280302.000000	33.3891602144
merged	4650000	8378	8315	276519.000000	33.0053712103
merged	4700000	8361	8297	273159.000000	32.670613563
merged	4750000	8344	8281	269277.000000	32.2719319271
merged	4800000	8327	8273	267680.000000	32.1460309835
merged	4850000	8310	8255	264512.000000	31.8305655836
merged	4900000	8293	8221	261052.000000	31.4785964066
merged	4950000	8276	8215	258798.000000	31.2709038183
merged	5000000	8259	8197	255868.000000	30.9805061145
merged	5050000	8242	8182	253367.000000	30.7409609318
merged	5100000	8225	8165	249851.000000	30.3770212766
merged	5150000	8208	8142	247064.000000	30.1003898635
merged	5200000	8191	8129	243874.000000	29.7734098401
merged	5250000	8174	8111	241979.000000	29.6034988989
merged	5300000	8157	8095	239369.000000	29.3452249602
merged	5350000	8140	8072	235812.000000	28.9695331695
merged	5400000	8123	8062	232458.000000	28.6172596331
merged	5450000	8106	8044	230832.000000	28.4766839378
merged	5500000	8089	8017	228280.000000	28.2210409198
merged	5550000	8072	8006	225649.000000	27.9545341923
merged	5600000	8055	7991	222107.000000	27.57380509
merged	5650000	8038	7959	219547.000000	27.3136352326
merged	5700000	8021	7948	216848.000000	27.0350330383
merged	5750000	8004	7917	214377.000000	26.7837331334
merged	5800000	7987	7912	212111.000000	26.557030174
merged	5850000	7970	7896	209293.000000	26.2601003764
merged	5900000	7953	7876	206665.000000	25.9857915252
merged	5950000	7936	7869	205722.000000	25.9226310484
merged	6000000	7919	7840	203900.000000	25.7482005304
merged	6050000	7902	7830	201245.000000	25.4676031384
merged	6100000	7885	7804	198580.000000	25.184527584
merged	6150000	7868	7785	196172.000000	24.93289273
merged	6200000	7851	7775	194158.000000	24.7303528213
merged	6250000	7834	7749	192701.000000	24.5980342099
merged	6300000	7817	7732	189207.000000	24.2045541768
merged	6350000	7800	7712	186448.000000	23.9035897436
merged	6400000	7783	7692	185036.000000	23.7743800591
merged	6450000	7766	7674	182518.000000	23.5021890291
merged	6500000	7749	7661	180012.000000	23.2303523035
merged	6550000	7732	7646	177770.000000	22.9914640455
merged	6600000	7715	7638	176441.000000	22.8698639015
merged	6650000	7698	7592	173432.000000	22.5294881787
merged	6700000	7681	7576	171852.000000	22.3736492644
merged	6750000	7664	7581	169549.000000	22.1227818372
merged	6800000	7647	7553	167167.000000	21.8604681574
merged	6850000	7630	7535	165566.000000	21.699344692
merged	6900000	7613	7520	163462.000000	21.4714304479
merged	6950000	7596	7506	161478.000000	21.2582938389
merged	7000000	7579	7493	160251.000000	21.1440823328
merged	7050000	7562	7468	157690.000000	20.8529489553
merged	7100000	7545	7436	155386.000000	20.5945659377
merged	7150000	7528	7410	154211.000000	20.484989373
merged	7200000	7511	7428	152606.000000	20.3176674211
merged	7250000	7494	7385	150898.000000	20.1358420069
merged	7300000	7477	7366	148903.000000	19.9148054032
merged	7350000	7460	7338	147057.000000	19.7127345845
merged	7400000	7443	7328	145247.000000	19.5145774553
merged	7450000	7426	7316	143755.000000	19.3583355777
merged	7500000	7409	7298	141599.000000	19.1117559725
merged	7550000	7392	7273	140678.000000	19.0311147186
merged	7600000	7375	7255	138489.000000	18.7781694915
merged	7650000	7358	7239	137213.000000	18.648138081
merged	7700000	7341	7226	136091.000000	18.5384824956
merged	7750000	7324	7192	135389.000000	18.4856635718
merged	7800000	7307	7189	133069.000000	18.2111673738
merged	7850000	7290	7159	130440.000000	17.8930041152
merged	7900000	7273	7150	129527.000000	17.8092946515
merged	7950000	7256	7131	128380.000000	17.6929437707
merged	8000000	7239	7104	126814.000000	17.5181654925
merged	8050000	7222	7091	125754.000000	17.4126280809
merged	8100000	7205	7066	123923.000000	17.1995836225
merged	8150000	7188	7030	122981.000000	17.1092097941
merged	8200000	7171	7024	121536.000000	16.9482638405
merged	8250000	7154	6997	120104.000000	16.7883701426
merged	8300000	7137	6987	119543.000000	16.7497547989
merged	8350000	7120	6960	118248.000000	16.6078651685
merged	8400000	7103	6947	117164.000000	16.4950021118
merged	8450000	7086	6913	115134.000000	16.2480948349
merged	8500000	7069	6916	114513.000000	16.1993209789
merged	8550000	7052	6907	113738.000000	16.1284741917
merged	8600000	7035	6882	112566.000000	16.0008528785
merged	8650000	7018	6871	110291.000000	15.715445996
merged	8700000	7001	6847	109738.000000	15.6746179117
merged	8750000	6984	6810	109169.000000	15.6313001145
merged	8800000	6967	6785	107031.000000	15.3625663844
merged	8850000	6950	6779	106256.000000	15.2886330935
merged	8900000	6933	6751	104473.000000	15.0689456224
merged	8950000	6916	6753	103923.000000	15.0264603817
merged	9000000	6899	6729	102190.000000	14.8122916365
merged	9050000	6882	6719	101120.000000	14.6934030805
merged	9100000	6865	6658	100083.000000	14.5787327021
merged	9150000	6848	6649	99123.000000	14.4747371495
merged	9200000	6831	6647	98326.000000	14.3940857854
merged	9250000	6814	6639	96847.000000	14.2129439389
merged	9300000	6797	6612	96375.000000	14.1790495807
merged	9350000	6780	6587	95012.000000	14.0135693215
merged	9400000	6763	6576	94403.000000	13.9587461186
merged	9450000	6746	6545	93389.000000	13.8436110288
merged	9500000	6729	6534	92117.000000	13.6895526824
merged	9550000	6712	6517	91729.000000	13.6664183552
merged	9600000	6695	6499	91035.000000	13.5974607916
merged	9650000	6678	6481	90095.000000	13.4913147649
merged	9700000	6661	6442	89102.000000	13.3766701696
merged	9750000	6644	6439	88894.000000	13.3795906081
merged	9800000	6627	6412	87759.000000	13.2426437302
merged	9850000	6610	6416	86553.000000	13.0942511346
merged	9900000	6593	6400	86492.000000	13.1187623237
merged	9950000	6576	6368	85471.000000	12.9974148418
merged	10000000	6559	6352	84597.000000	12.8978502821
merged	10050000	6542	6339	84541.000000	12.9228064812
merged	10100000	6525	6319	83860.000000	12.8521072797
merged	10150000	6508	6294	82462.000000	12.6708666257
merged	10200000	6491	6265	82062.000000	12.6424279772
merged	10250000	6474	6270	80994.000000	12.5106580167
merged	10300000	6457	6233	79816.000000	12.3611584327
merged	10350000	6440	6227	79875.000000	12.4029503106
merged	10400000	6423	6211	79105.000000	12.3158959988
merged	10450000	6406	6190	77349.000000	12.0744614424
merged	10500000	6389	6174	78079.000000	12.2208483331
merged	10550000	6372	6135	76494.000000	12.0047080979
merged	10600000	6355	6131	76362.000000	12.0160503541
merged	10650000	6338	6118	75998.000000	11.9908488482
merged	10700000	6321	6099	75035.000000	11.8707482993
merged	10750000	6304	6075	74796.000000	11.8648477157
merged	10800000	6287	6062	74020.000000	11.7735008748
merged	10850000	6270	6044	73865.000000	11.7807017544
merged	10900000	6253	6010	73371.000000	11.7337278107
merged	10950000	6236	5989	72575.000000	11.6380692752
merged	11000000	6219	5994	72152.000000	11.6018652516
merged	11050000	6202	5960	71698.000000	11.5604643663
merged	11100000	6185	5948	71237.000000	11.5177041229
merged	11150000	6168	5920	70381.000000	11.4106679637
merged	11200000	6151	5922	69676.000000	11.3275890099
merged	11250000	6134	5899	69272.000000	11.293120313
merged	11300000	6117	5884	68834.000000	11.2529017492
merged	11350000	6100	5849	67628.000000	11.086557377
merged	11400000	6083	5823	68033.000000	11.1841196778
merged	11450000	6066	5818	67312.000000	11.0966040224
merged	11500000	6049	5790	66599.000000	11.0099189949
merged	11550000	6032	5789	66350.000000	10.999668435
merged	11600000	6015	5743	65919.000000	10.9591022444
merged	11650000	5998	5742	65394.000000	10.9026342114
merged	11700000	5981	5726	64994.000000	10.8667446915
merged	11750000	5964	5708	64617.000000	10.8345070423
merged	11800000	5947	5712	63950.000000	10.7533210022
merged	11850000	5930	5689	63156.000000	10.6502529511
merged	11900000	5913	5666	63093.000000	10.6702181634
merged	11950000	5896	5645	62755.000000	10.6436567164
merged	12000000	5879	5645	62420.000000	10.6174519476
merged	12050000	5862	5621	62041.000000	10.5835892187
merged	12100000	5845	5587	61214.000000	10.4728828058
merged	12150000	5828	5590	60806.000000	10.4334248456
merged	12200000	5811	5563	60769.000000	10.4575804509
merged	12250000	5794	5548	60388.000000	10.4225060407
merged	12300000	5777	5520	59599.000000	10.3166003116
merged	12350000	5760	5518	59534.000000	10.3357638889
merged	12400000	5743	5500	58904.000000	10.2566602821
merged	12450000	5726	5485	58980.000000	10.3003842124
merged	12500000	5709	5450	58390.000000	10.2277106323
merged	12550000	5692	5417	57899.000000	10.1719957836
merged	12600000	5675	5411	57621.000000	10.1534801762
merged	12650000	5658	5396	56821.000000	10.0425945564
merged	12700000	5641	5377	56948.000000	10.0953731608
merged	12750000	5624	5369	56372.000000	10.0234708393
