sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
rep2	50000	9942	9911	12248372.000000	1231.98269966
rep2	100000	9925	9895	6227821.000000	627.488261965
rep2	150000	9908	9876	4196562.000000	423.552886556
rep2	200000	9891	9856	3108874.000000	314.313416237
rep2	250000	9874	9837	2434998.000000	246.607048815
rep2	300000	9857	9825	1988916.000000	201.777011261
rep2	350000	9840	9805	1674440.000000	170.166666667
rep2	400000	9823	9791	1442707.000000	146.870304388
rep2	450000	9806	9775	1267982.000000	129.306750969
rep2	500000	9789	9755	1129320.000000	115.366227398
rep2	550000	9772	9737	1020225.000000	104.402885796
rep2	600000	9755	9714	929266.000000	95.2604818042
rep2	650000	9738	9697	853061.000000	87.601252824
rep2	700000	9721	9684	791865.000000	81.4592120152
rep2	750000	9704	9669	737515.000000	76.0011335532
rep2	800000	9687	9644	690464.000000	71.2773820584
rep2	850000	9670	9631	648735.000000	67.0873836608
rep2	900000	9653	9608	614245.000000	63.6325494665
rep2	950000	9636	9598	582030.000000	60.401618929
rep2	1000000	9619	9581	554006.000000	57.5949682919
rep2	1050000	9602	9559	529236.000000	55.117267236
rep2	1100000	9585	9545	508598.000000	53.0618675013
rep2	1150000	9568	9531	486559.000000	50.8527382943
rep2	1200000	9551	9515	468984.000000	49.1031305622
rep2	1250000	9534	9495	451493.000000	47.3560939794
rep2	1300000	9517	9473	435838.000000	45.7957339498
rep2	1350000	9500	9454	424260.000000	44.6589473684
rep2	1400000	9483	9439	411575.000000	43.4013497838
rep2	1450000	9466	9416	397600.000000	42.0029579548
rep2	1500000	9449	9404	386406.000000	40.8938512012
rep2	1550000	9432	9389	377959.000000	40.0719889737
rep2	1600000	9415	9370	367326.000000	39.014976102
rep2	1650000	9398	9355	357372.000000	38.0263885933
rep2	1700000	9381	9337	348737.000000	37.1748214476
rep2	1750000	9364	9317	341391.000000	36.4578171721
rep2	1800000	9347	9298	332998.000000	35.6261902215
rep2	1850000	9330	9275	327237.000000	35.0736334405
rep2	1900000	9313	9266	319974.000000	34.3577794481
rep2	1950000	9296	9250	315322.000000	33.9201807229
rep2	2000000	9279	9231	307982.000000	33.1912921651
rep2	2050000	9262	9199	303018.000000	32.716259987
rep2	2100000	9245	9190	296201.000000	32.0390481341
rep2	2150000	9228	9167	290683.000000	31.5001083658
rep2	2200000	9211	9154	285691.000000	31.0162848768
rep2	2250000	9194	9139	279513.000000	30.4016750054
rep2	2300000	9177	9119	275266.000000	29.9952054048
rep2	2350000	9160	9108	269272.000000	29.3965065502
rep2	2400000	9143	9083	265399.000000	29.0275620693
rep2	2450000	9126	9064	261257.000000	28.6277668201
rep2	2500000	9109	9036	256467.000000	28.1553408717
rep2	2550000	9092	9027	252246.000000	27.7437307523
rep2	2600000	9075	9017	248309.000000	27.3618732782
rep2	2650000	9058	8985	245030.000000	27.0512254361
rep2	2700000	9041	8973	240319.000000	26.5810197987
rep2	2750000	9024	8949	236035.000000	26.1563608156
rep2	2800000	9007	8930	232639.000000	25.8286887976
rep2	2850000	8990	8902	228412.000000	25.4073414905
rep2	2900000	8973	8897	226271.000000	25.2168728407
rep2	2950000	8956	8874	222756.000000	24.8722644038
rep2	3000000	8939	8843	219373.000000	24.5411119812
rep2	3050000	8922	8850	216593.000000	24.2762833445
rep2	3100000	8905	8828	213855.000000	24.0151600225
rep2	3150000	8888	8787	210141.000000	23.6432268227
rep2	3200000	8871	8780	207823.000000	23.4272348101
rep2	3250000	8854	8766	205441.000000	23.2031850011
rep2	3300000	8837	8729	202159.000000	22.8764286523
rep2	3350000	8820	8708	199227.000000	22.5880952381
rep2	3400000	8803	8701	196817.000000	22.3579461547
rep2	3450000	8786	8682	193844.000000	22.0628272251
rep2	3500000	8769	8668	191502.000000	21.8385220664
rep2	3550000	8752	8649	188882.000000	21.5815813528
rep2	3600000	8735	8635	186170.000000	21.3131081855
rep2	3650000	8718	8585	183787.000000	21.0813259922
rep2	3700000	8701	8595	181538.000000	20.8640386163
rep2	3750000	8684	8557	179707.000000	20.6940350069
rep2	3800000	8667	8545	176712.000000	20.3890619592
rep2	3850000	8650	8535	174948.000000	20.2252023121
rep2	3900000	8633	8504	172887.000000	20.0262944515
rep2	3950000	8616	8499	170994.000000	19.8461002786
rep2	4000000	8599	8478	168276.000000	19.5692522386
rep2	4050000	8582	8445	166762.000000	19.4316010254
rep2	4100000	8565	8435	164031.000000	19.1513134851
rep2	4150000	8548	8413	162235.000000	18.979293402
rep2	4200000	8531	8392	160991.000000	18.8712929317
rep2	4250000	8514	8394	158093.000000	18.5685929058
rep2	4300000	8497	8362	156902.000000	18.4655760857
rep2	4350000	8480	8333	154661.000000	18.2383254717
rep2	4400000	8463	8317	152689.000000	18.0419473
rep2	4450000	8446	8315	151279.000000	17.9113189676
rep2	4500000	8429	8307	148656.000000	17.6362557836
rep2	4550000	8412	8277	147356.000000	17.5173561579
rep2	4600000	8395	8242	145311.000000	17.3092316855
rep2	4650000	8378	8210	143578.000000	17.137502984
rep2	4700000	8361	8199	141968.000000	16.9797871068
rep2	4750000	8344	8190	140199.000000	16.8023729626
rep2	4800000	8327	8169	138483.000000	16.6305992554
rep2	4850000	8310	8156	137315.000000	16.5240673887
rep2	4900000	8293	8148	135061.000000	16.2861449415
rep2	4950000	8276	8118	133694.000000	16.1544224263
rep2	5000000	8259	8100	132757.000000	16.0742220608
rep2	5050000	8242	8086	131052.000000	15.9005095851
rep2	5100000	8225	8054	129388.000000	15.7310638298
rep2	5150000	8208	8033	128109.000000	15.6078216374
rep2	5200000	8191	8036	125955.000000	15.3772433158
rep2	5250000	8174	7996	125118.000000	15.3068265231
rep2	5300000	8157	7972	123203.000000	15.1039597891
rep2	5350000	8140	7964	121699.000000	14.9507371007
rep2	5400000	8123	7926	119584.000000	14.7216545611
rep2	5450000	8106	7905	118573.000000	14.627806563
rep2	5500000	8089	7889	117552.000000	14.5323278526
rep2	5550000	8072	7881	115862.000000	14.353567889
rep2	5600000	8055	7853	114081.000000	14.1627560521
rep2	5650000	8038	7825	112955.000000	14.0526250311
rep2	5700000	8021	7816	111300.000000	13.8760753023
rep2	5750000	8004	7784	110154.000000	13.7623688156
rep2	5800000	7987	7775	108749.000000	13.6157505947
rep2	5850000	7970	7763	106581.000000	13.3727728984
rep2	5900000	7953	7749	105672.000000	13.2870614862
rep2	5950000	7936	7713	105384.000000	13.279233871
rep2	6000000	7919	7690	104415.000000	13.1853769415
rep2	6050000	7902	7673	102648.000000	12.9901290812
rep2	6100000	7885	7646	101439.000000	12.8648065948
rep2	6150000	7868	7646	100027.000000	12.7131418404
rep2	6200000	7851	7627	98704.000000	12.5721564132
rep2	6250000	7834	7607	98137.000000	12.5270615267
rep2	6300000	7817	7589	96074.000000	12.2903927338
rep2	6350000	7800	7557	95089.000000	12.1908974359
rep2	6400000	7783	7564	94069.000000	12.0864705127
rep2	6450000	7766	7518	92893.000000	11.9614988411
rep2	6500000	7749	7502	91592.000000	11.8198477223
rep2	6550000	7732	7477	90054.000000	11.6469218831
rep2	6600000	7715	7454	89676.000000	11.6235904083
rep2	6650000	7698	7445	88116.000000	11.446609509
rep2	6700000	7681	7388	86619.000000	11.2770472595
rep2	6750000	7664	7426	86161.000000	11.2423016701
rep2	6800000	7647	7372	84628.000000	11.066823591
rep2	6850000	7630	7343	83332.000000	10.9216251638
rep2	6900000	7613	7342	82290.000000	10.8091422567
rep2	6950000	7596	7327	81521.000000	10.7320958399
rep2	7000000	7579	7305	80719.000000	10.6503496503
rep2	7050000	7562	7254	79540.000000	10.5183813806
rep2	7100000	7545	7247	78482.000000	10.4018555335
rep2	7150000	7528	7240	77800.000000	10.3347502657
rep2	7200000	7511	7241	76822.000000	10.2279323659
rep2	7250000	7494	7203	75634.000000	10.0926074193
rep2	7300000	7477	7172	74925.000000	10.0207302394
rep2	7350000	7460	7139	73814.000000	9.89463806971
rep2	7400000	7443	7121	72907.000000	9.79537820771
rep2	7450000	7426	7111	72107.000000	9.71007271748
rep2	7500000	7409	7095	70920.000000	9.57214198947
rep2	7550000	7392	7052	70447.000000	9.53016774892
rep2	7600000	7375	7053	69275.000000	9.39322033898
rep2	7650000	7358	7025	68803.000000	9.35077466703
rep2	7700000	7341	7024	68057.000000	9.27080779185
rep2	7750000	7324	6985	67572.000000	9.22610595303
rep2	7800000	7307	6976	66626.000000	9.11810592582
rep2	7850000	7290	6947	65570.000000	8.99451303155
rep2	7900000	7273	6902	64690.000000	8.8945414547
rep2	7950000	7256	6875	63853.000000	8.8000275634
rep2	8000000	7239	6859	63486.000000	8.76999585578
rep2	8050000	7222	6829	62757.000000	8.68969814456
rep2	8100000	7205	6840	61426.000000	8.52546842471
rep2	8150000	7188	6791	61135.000000	8.505147468
rep2	8200000	7171	6775	60387.000000	8.42100125506
rep2	8250000	7154	6717	59631.000000	8.33533687448
rep2	8300000	7137	6747	59413.000000	8.32464620989
rep2	8350000	7120	6698	58626.000000	8.23398876404
rep2	8400000	7103	6710	58308.000000	8.208925806
rep2	8450000	7086	6650	57394.000000	8.09963307931
rep2	8500000	7069	6629	56846.000000	8.04159004102
rep2	8550000	7052	6631	56713.000000	8.04211571185
rep2	8600000	7035	6627	55887.000000	7.94413646055
rep2	8650000	7018	6548	54782.000000	7.80592761471
rep2	8700000	7001	6568	54182.000000	7.73918011713
rep2	8750000	6984	6519	54121.000000	7.74928407789
rep2	8800000	6967	6511	52992.000000	7.60614324673
rep2	8850000	6950	6482	52712.000000	7.58446043165
rep2	8900000	6933	6476	51470.000000	7.42391461128
rep2	8950000	6916	6475	51419.000000	7.43478889532
rep2	9000000	6899	6437	50581.000000	7.331642267
rep2	9050000	6882	6397	49894.000000	7.2499273467
rep2	9100000	6865	6354	49435.000000	7.20101966497
rep2	9150000	6848	6350	48537.000000	7.08776285047
rep2	9200000	6831	6315	48064.000000	7.03615868833
rep2	9250000	6814	6339	47771.000000	7.01071323745
rep2	9300000	6797	6294	47295.000000	6.95821686038
rep2	9350000	6780	6271	46598.000000	6.87286135693
rep2	9400000	6763	6279	46357.000000	6.85450243975
rep2	9450000	6746	6220	46030.000000	6.8233026979
rep2	9500000	6729	6228	45118.000000	6.70500817358
rep2	9550000	6712	6193	44924.000000	6.69308700834
rep2	9600000	6695	6182	44650.000000	6.66915608663
rep2	9650000	6678	6164	44445.000000	6.65543575921
rep2	9700000	6661	6138	43738.000000	6.56628133914
rep2	9750000	6644	6101	43662.000000	6.5716435882
rep2	9800000	6627	6107	42895.000000	6.47276293949
rep2	9850000	6610	6070	42160.000000	6.37821482602
rep2	9900000	6593	6051	42451.000000	6.43879872592
rep2	9950000	6576	6015	41583.000000	6.32344890511
rep2	10000000	6559	6003	41372.000000	6.30766885196
rep2	10050000	6542	6008	41367.000000	6.32329562825
rep2	10100000	6525	5961	41019.000000	6.28643678161
rep2	10150000	6508	5950	40312.000000	6.19422249539
rep2	10200000	6491	5939	39976.000000	6.15868125096
rep2	10250000	6474	5923	39578.000000	6.11337658326
rep2	10300000	6457	5902	38849.000000	6.01657116308
rep2	10350000	6440	5888	39041.000000	6.06226708075
rep2	10400000	6423	5866	38481.000000	5.99112564222
rep2	10450000	6406	5822	37704.000000	5.88573212613
rep2	10500000	6389	5856	38027.000000	5.95194866176
rep2	10550000	6372	5785	37079.000000	5.81905210295
rep2	10600000	6355	5763	37131.000000	5.84280094414
rep2	10650000	6338	5749	37029.000000	5.84237929946
rep2	10700000	6321	5739	36606.000000	5.79117228287
rep2	10750000	6304	5732	36125.000000	5.73048857868
rep2	10800000	6287	5717	36137.000000	5.74789247654
rep2	10850000	6270	5684	35801.000000	5.70988835726
rep2	10900000	6253	5660	35634.000000	5.69870462178
rep2	10950000	6236	5660	34890.000000	5.59493264913
rep2	11000000	6219	5622	34999.000000	5.62775365814
rep2	11050000	6202	5614	34852.000000	5.61947758787
rep2	11100000	6185	5596	34617.000000	5.59692805174
rep2	11150000	6168	5583	34312.000000	5.56290531777
rep2	11200000	6151	5543	33779.000000	5.49162737766
rep2	11250000	6134	5521	33503.000000	5.46185197261
rep2	11300000	6117	5514	33522.000000	5.48013732222
rep2	11350000	6100	5459	32450.000000	5.31967213115
rep2	11400000	6083	5452	32643.000000	5.36626664475
rep2	11450000	6066	5474	32469.000000	5.35262116716
rep2	11500000	6049	5427	32004.000000	5.29079186642
rep2	11550000	6032	5421	32086.000000	5.31929708223
rep2	11600000	6015	5400	31925.000000	5.30756442228
rep2	11650000	5998	5396	31559.000000	5.26158719573
rep2	11700000	5981	5360	31368.000000	5.2446079251
rep2	11750000	5964	5364	31364.000000	5.25888665325
rep2	11800000	5947	5348	30903.000000	5.196401547
rep2	11850000	5930	5313	30507.000000	5.14451939292
rep2	11900000	5913	5288	30291.000000	5.12278031456
rep2	11950000	5896	5269	30435.000000	5.16197421981
rep2	12000000	5879	5289	30095.000000	5.11906786869
rep2	12050000	5862	5275	30086.000000	5.13237802798
rep2	12100000	5845	5212	29619.000000	5.06740804106
rep2	12150000	5828	5213	29376.000000	5.04049416609
rep2	12200000	5811	5159	29230.000000	5.03011529857
rep2	12250000	5794	5203	29064.000000	5.01622367967
rep2	12300000	5777	5157	28619.000000	4.95395534014
rep2	12350000	5760	5142	28702.000000	4.98298611111
rep2	12400000	5743	5100	28414.000000	4.94758836845
rep2	12450000	5726	5106	28320.000000	4.94586098498
rep2	12500000	5709	5078	28148.000000	4.93046067613
rep2	12550000	5692	5065	27782.000000	4.88088545327
rep2	12600000	5675	5037	27719.000000	4.88440528634
rep2	12650000	5658	5039	27286.000000	4.82255213856
rep2	12700000	5641	4994	27381.000000	4.85392660876
rep2	12750000	5624	4995	27123.000000	4.82272403983
rep2	12800000	5607	4959	26784.000000	4.77688603531
rep2	12850000	5590	4946	27085.000000	4.84525939177
rep2	12900000	5573	4920	26874.000000	4.82217835995
rep2	12950000	5556	4936	26705.000000	4.80651547876
rep2	13000000	5539	4876	26309.000000	4.7497743275
rep2	13050000	5522	4871	26403.000000	4.78141977544
rep2	13100000	5505	4831	25831.000000	4.69227974569
rep2	13150000	5488	4822	25580.000000	4.6610787172
rep2	13200000	5471	4847	25791.000000	4.71412904405
rep2	13250000	5454	4792	25009.000000	4.58544187752
rep2	13300000	5437	4789	25217.000000	4.63803568144
rep2	13350000	5420	4760	24858.000000	4.58634686347
rep2	13400000	5403	4751	25065.000000	4.63908939478
rep2	13450000	5386	4738	24809.000000	4.60620126253
rep2	13500000	5369	4749	24422.000000	4.54870553176
rep2	13550000	5352	4725	24154.000000	4.51307922272
rep2	13600000	5335	4708	24156.000000	4.52783505155
rep2	13650000	5318	4691	24279.000000	4.56543813464
rep2	13700000	5301	4654	23937.000000	4.5155631013
rep2	13750000	5284	4611	23657.000000	4.4771006813
rep2	13800000	5267	4607	23459.000000	4.45395861021
rep2	13850000	5250	4616	23763.000000	4.52628571429
rep2	13900000	5233	4584	23236.000000	4.44028282056
rep2	13950000	5216	4581	23363.000000	4.47910276074
rep2	14000000	5199	4545	23267.000000	4.47528370841
rep2	14050000	5182	4528	22881.000000	4.41547664994
rep2	14100000	5165	4531	23053.000000	4.4633107454
rep2	14150000	5148	4484	23034.000000	4.47435897436
rep2	14200000	5131	4472	22472.000000	4.37965308907
rep2	14250000	5114	4507	22704.000000	4.43957763004
rep2	14300000	5097	4462	22449.000000	4.40435550324
rep2	14350000	5080	4451	22341.000000	4.39783464567
rep2	14400000	5063	4433	22231.000000	4.39087497531
rep2	14450000	5046	4406	22135.000000	4.38664288545
rep2	14500000	5029	4399	21906.000000	4.35593557367
rep2	14550000	5012	4379	21812.000000	4.35195530726
rep2	14600000	4995	4389	21600.000000	4.32432432432
rep2	14650000	4978	4345	21657.000000	4.3505423865
