sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair	support_cutoff_possible_pairs
rep1	50000	9942	9912	9270471.0	932.455340978	1000
rep1	100000	9925	9893	4422279.0	445.569672544	1000
rep1	150000	9908	9881	3005679.0	303.358800969	1000
rep1	200000	9891	9858	2262719.0	228.765443332	1000
rep1	250000	9874	9841	1805847.0	182.889102694	1000
rep1	300000	9857	9820	1495201.0	151.689256366	1000
rep1	350000	9840	9804	1277091.0	129.785670732	1000
rep1	400000	9823	9790	1114427.0	113.450778784	1000
rep1	450000	9806	9775	988163.0	100.771262492	1000
rep1	500000	9789	9757	886239.0	90.5341710083	1000
rep1	550000	9772	9735	807902.0	82.6751944331	1000
rep1	600000	9755	9721	741615.0	76.0240902101	1000
rep1	650000	9738	9699	688608.0	70.7134935305	1000
rep1	700000	9721	9679	639426.0	65.7778006378	1000
rep1	750000	9704	9662	600185.0	61.8492374279	1000
rep1	800000	9687	9647	564532.0	58.2772788273	1000
rep1	850000	9670	9630	534916.0	55.3170630817	1000
rep1	900000	9653	9614	508736.0	52.7023723195	1000
rep1	950000	9636	9594	484191.0	50.248132005	1000
rep1	1000000	9619	9578	462100.0	48.0403368334	1000
rep1	1050000	9602	9566	443084.0	46.144969798	1000
rep1	1100000	9585	9550	425686.0	44.4116849244	1000
rep1	1150000	9568	9533	409877.0	42.8383152174	1000
rep1	1200000	9551	9515	396636.0	41.5282169406	1000
rep1	1250000	9534	9492	383760.0	40.2517306482	1000
rep1	1300000	9517	9475	371001.0	38.9829778291	1000
rep1	1350000	9500	9458	359815.0	37.8752631579	1000
rep1	1400000	9483	9445	350717.0	36.9837604134	1000
rep1	1450000	9466	9426	340430.0	35.9634481302	1000
rep1	1500000	9449	9409	331455.0	35.0783151656	1000
rep1	1550000	9432	9383	324299.0	34.3828456319	1000
rep1	1600000	9415	9372	315846.0	33.5471056824	1000
rep1	1650000	9398	9344	306998.0	32.6663119813	1000
rep1	1700000	9381	9340	299936.0	31.9727107984	1000
rep1	1750000	9364	9319	294127.0	31.4104015378	1000
rep1	1800000	9347	9301	288545.0	30.8703327271	1000
rep1	1850000	9330	9282	283711.0	30.4084673098	1000
rep1	1900000	9313	9268	277642.0	29.8123053796	1000
rep1	1950000	9296	9244	272189.0	29.2802280551	1000
rep1	2000000	9279	9223	267071.0	28.7823041276	1000
rep1	2050000	9262	9211	262605.0	28.3529475275	1000
rep1	2100000	9245	9193	259461.0	28.0650081125	1000
rep1	2150000	9228	9176	254058.0	27.5312093628	1000
rep1	2200000	9211	9152	250212.0	27.1644772555	1000
rep1	2250000	9194	9138	244999.0	26.647705025	1000
rep1	2300000	9177	9123	241056.0	26.2674076496	1000
rep1	2350000	9160	9104	236630.0	25.8329694323	1000
rep1	2400000	9143	9073	233216.0	25.5076014437	1000
rep1	2450000	9126	9071	229725.0	25.1725838264	1000
rep1	2500000	9109	9051	226769.0	24.8950488528	1000
rep1	2550000	9092	9029	222936.0	24.5200175979	1000
rep1	2600000	9075	9010	219729.0	24.2125619835	1000
rep1	2650000	9058	8991	216576.0	23.9099138883	1000
rep1	2700000	9041	8978	212892.0	23.5473951996	1000
rep1	2750000	9024	8954	209880.0	23.2579787234	1000
rep1	2800000	9007	8927	207041.0	22.986677029	1000
rep1	2850000	8990	8915	203352.0	22.6197997775	1000
rep1	2900000	8973	8904	200276.0	22.3198484342	1000
rep1	2950000	8956	8882	198603.0	22.1754131309	1000
rep1	3000000	8939	8853	195348.0	21.853451169	1000
rep1	3050000	8922	8845	193117.0	21.6450347456	1000
rep1	3100000	8905	8829	190652.0	21.4095451993	1000
rep1	3150000	8888	8812	187769.0	21.1261251125	1000
rep1	3200000	8871	8793	186623.0	21.0374253185	1000
rep1	3250000	8854	8776	183565.0	20.7324373165	1000
rep1	3300000	8837	8751	181105.0	20.4939459092	1000
rep1	3350000	8820	8725	179132.0	20.3097505669	1000
rep1	3400000	8803	8716	177202.0	20.1297285016	1000
rep1	3450000	8786	8705	174883.0	19.9047348054	1000
rep1	3500000	8769	8668	172818.0	19.7078344167	1000
rep1	3550000	8752	8658	169518.0	19.3690585009	1000
rep1	3600000	8735	8642	168657.0	19.3081854608	1000
rep1	3650000	8718	8616	166007.0	19.0418674008	1000
rep1	3700000	8701	8596	164711.0	18.9301229744	1000
rep1	3750000	8684	8570	161637.0	18.6131966836	1000
rep1	3800000	8667	8555	160404.0	18.5074420215	1000
rep1	3850000	8650	8544	158631.0	18.3388439306	1000
rep1	3900000	8633	8524	158074.0	18.3104366964	1000
rep1	3950000	8616	8518	154707.0	17.9557799443	1000
rep1	4000000	8599	8501	152860.0	17.7764856379	1000
rep1	4050000	8582	8464	151741.0	17.681309718	1000
rep1	4100000	8565	8449	150026.0	17.5161704612	1000
rep1	4150000	8548	8427	148036.0	17.3182030884	1000
rep1	4200000	8531	8412	146007.0	17.1148751612	1000
rep1	4250000	8514	8412	144355.0	16.955015269	1000
rep1	4300000	8497	8370	143162.0	16.848534777	1000
rep1	4350000	8480	8360	142406.0	16.7931603774	1000
rep1	4400000	8463	8350	139150.0	16.4421599905	1000
rep1	4450000	8446	8318	138692.0	16.4210277054	1000
rep1	4500000	8429	8306	137225.0	16.2801044015	1000
rep1	4550000	8412	8293	136589.0	16.2373989539	1000
rep1	4600000	8395	8261	134992.0	16.0800476474	1000
rep1	4650000	8378	8260	132945.0	15.8683456672	1000
rep1	4700000	8361	8226	131195.0	15.6913048678	1000
rep1	4750000	8344	8207	129079.0	15.4696788111	1000
rep1	4800000	8327	8209	129201.0	15.5159120932	1000
rep1	4850000	8310	8176	127197.0	15.3064981949	1000
rep1	4900000	8293	8152	125995.0	15.1929337996	1000
rep1	4950000	8276	8130	125105.0	15.1166022233	1000
rep1	5000000	8259	8121	123112.0	14.9064051338	1000
rep1	5050000	8242	8108	122318.0	14.8408153361	1000
rep1	5100000	8225	8090	120465.0	14.6462006079	1000
rep1	5150000	8208	8064	118955.0	14.4925682261	1000
rep1	5200000	8191	8032	117923.0	14.3966548651	1000
rep1	5250000	8174	8029	116863.0	14.2969170541	1000
rep1	5300000	8157	8017	116167.0	14.2413877651	1000
rep1	5350000	8140	7988	114114.0	14.0189189189	1000
rep1	5400000	8123	7994	112875.0	13.8957281792	1000
rep1	5450000	8106	7964	112260.0	13.8490007402	1000
rep1	5500000	8089	7935	110729.0	13.6888366918	1000
rep1	5550000	8072	7931	109789.0	13.6012140733	1000
rep1	5600000	8055	7909	108027.0	13.4111731844	1000
rep1	5650000	8038	7857	106593.0	13.2611346106	1000
rep1	5700000	8021	7855	105549.0	13.1590824087	1000
rep1	5750000	8004	7833	104223.0	13.0213643178	1000
rep1	5800000	7987	7831	103363.0	12.9414047828	1000
rep1	5850000	7970	7795	102713.0	12.8874529486	1000
rep1	5900000	7953	7777	100994.0	12.6988557777	1000
rep1	5950000	7936	7765	100340.0	12.6436491935	1000
rep1	6000000	7919	7758	99487.0	12.563076146	1000
rep1	6050000	7902	7741	98598.0	12.4776006074	1000
rep1	6100000	7885	7700	97144.0	12.3201014585	1000
rep1	6150000	7868	7694	96146.0	12.2198779868	1000
rep1	6200000	7851	7676	95454.0	12.1581964081	1000
rep1	6250000	7834	7649	94566.0	12.0712279806	1000
rep1	6300000	7817	7637	93136.0	11.914545222	1000
rep1	6350000	7800	7605	91360.0	11.7128205128	1000
rep1	6400000	7783	7580	90968.0	11.6880380316	1000
rep1	6450000	7766	7570	89626.0	11.5408189544	1000
rep1	6500000	7749	7564	88422.0	11.4107626791	1000
rep1	6550000	7732	7552	87718.0	11.3448008277	1000
rep1	6600000	7715	7517	86766.0	11.2464031108	1000
rep1	6650000	7698	7469	85318.0	11.0831384775	1000
rep1	6700000	7681	7479	85234.0	11.0967321963	1000
rep1	6750000	7664	7452	83391.0	10.8808716075	1000
rep1	6800000	7647	7424	82539.0	10.7936445665	1000
rep1	6850000	7630	7433	82234.0	10.7777195282	1000
rep1	6900000	7613	7395	81175.0	10.662682254	1000
rep1	6950000	7596	7396	79957.0	10.5261979989	1000
rep1	7000000	7579	7374	79534.0	10.4939965695	1000
rep1	7050000	7562	7365	78150.0	10.3345675747	1000
rep1	7100000	7545	7316	76904.0	10.1927104042	1000
rep1	7150000	7528	7281	76411.0	10.1502391073	1000
rep1	7200000	7511	7305	75785.0	10.0898681933	1000
rep1	7250000	7494	7262	75264.0	10.0432345877	1000
rep1	7300000	7477	7249	73978.0	9.89407516384	1000
rep1	7350000	7460	7209	73243.0	9.81809651475	1000
rep1	7400000	7443	7202	72340.0	9.71919924762	1000
rep1	7450000	7426	7206	71649.0	9.64839752222	1000
rep1	7500000	7409	7168	70679.0	9.53961398299	1000
rep1	7550000	7392	7141	70231.0	9.5009469697	1000
rep1	7600000	7375	7141	69214.0	9.38494915254	1000
rep1	7650000	7358	7097	68410.0	9.29736341397	1000
rep1	7700000	7341	7075	68034.0	9.26767470372	1000
rep1	7750000	7324	7066	67817.0	9.25955761879	1000
rep1	7800000	7307	7025	66444.0	9.093198303	1000
rep1	7850000	7290	7015	64871.0	8.89862825789	1000
rep1	7900000	7273	7013	64840.0	8.91516568129	1000
rep1	7950000	7256	6994	64527.0	8.89291620728	1000
rep1	8000000	7239	6967	63328.0	8.74816963669	1000
