duplication_type	gene	age	age_occurrences	had_conflicting_occurrence_calls	Ppe_syntenic	Mdo_syntenic	Gtr_syntenic	minimum_valid_pair_Ks
TRD	Pbre1_15G599400	young	1	False	0	0	0	0.0190709
PD	Pbre1_17G215400	young	2	True	0	0	0	0.0311138
TRD	Pbre1_05G141000	young	1	False	0	0	0	0.0527999
PD	Pbre1_06G036400	young	1	False	0	0	0	0.0470379
TRD	Pbre1_06G329200	young	1	False	0	0	0	0.0616326
TD	Pbre1_11G441000	young	2	False	0	0	0	0.0394306
TRD	Pbre1_12G173000	young	1	False	0	0	0	0.0910057
TD	Pbre1_10G517800	young	1	False	0	0	0	0.0136114
TD	Pbre1_01G128400	young	2	True	0	0	0	0.0131049
TRD	Pbre1_13G349000	young	1	False	0	0	0	0.0809546
TD	Pbre1_17G224800	young	1	False	0	0	0	0.00985974
TD	Pbre1_09G406600	young	1	False	0	0	0	0.0685975
TRD	Pbre1_05G310800	young	1	False	0	0	0	0.0813037
TD	Pbre1_10G229800	young	1	False	0	0	0	0.0253911
TD	Pbre1_08G166800	young	1	False	0	0	0	0.0950267
PD	Pbre1_10G163200	young	1	False	0	0	0	0.0433909
TRD	Pbre1_15G338000	young	1	False	0	0	0	0.111189
TRD	Pbre1_08G176200	young	1	False	0	0	0	0.048788
TD	Pbre1_08G138000	young	1	False	0	0	0	0.0914821
PD	Pbre1_10G372400	young	1	False	0	0	0	0.0615785
PD	Pbre1_17G215800	young	1	False	0	0	0	0.0204793
TRD	Pbre1_15G780200	young	1	False	0	0	0	0.0661783
TD	Pbre1_11G359600	young	2	False	0	0	0	0.0256477
TD	Pbre1_17G239200	young	1	False	0	0	0	0.0211559
PD	Pbre1_03G347600	young	1	False	0	0	0	0.00709641
TRD	Pbre1_15G202000	young	1	False	0	0	0	0.0941578
TRD	Pbre1_07G078000	young	1	False	0	0	0	0.0715273
TRD	Pbre1_09G393000	young	1	False	0	0	0	0.0939162
TRD	Pbre1_16G401400	young	1	False	0	0	0	0.00493587
TRD	Pbre1_09G394800	young	1	False	0	0	0	0.104961
TRD	Pbre1_17G502800	young	1	False	0	0	0	0.0831399
PD	Pbre1_07G148800	young	1	False	0	0	0	0.016478
TRD	Pbre1_11G085200	young	1	False	0	0	0	0.0848538
TRD	Pbre1_10G446600	young	1	False	0	0	0	0.0927031
TD	Pbre1_15G702000	young	2	False	0	0	0	0.040984
TRD	Pbre1_16G369200	young	1	False	0	0	0	0.105059
PD	Pbre1_12G277000	young	1	False	0	0	0	0.0172306
