pair	method	Ka	Ks	Ka_Ks	source_file	trajectory	duplication_type
Pbre1_15G279400-Pbre1_15G279600	GMYN	0.0481637	0.0350292	1.37496	Pbre1_15G279400-Pbre1_15G279600.cds_aln.axt.kaks	Specialization	TD
Pbre1_05G321200-Pbre1_01G046200	GMYN	0.212033	0.770277	0.275269	Pbre1_05G321200-Pbre1_01G046200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G452000-Pbre1_06G415400	GMYN	0.00878099	0.136715	0.0642282	Pbre1_14G452000-Pbre1_06G415400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_08G030800-Pbre1_08G031600	GMYN	0.0122337	0.0327149	0.373949	Pbre1_08G030800-Pbre1_08G031600.cds_aln.axt.kaks	Specialization	PD
Pbre1_06G314400-Pbre1_06G314600	GMYN	0.336043	2.257	0.148889	Pbre1_06G314400-Pbre1_06G314600.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_03G070600-Pbre1_03G125400	GMYN	0.199629	0.668401	0.298667	Pbre1_03G070600-Pbre1_03G125400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_10G426600-Pbre1_05G452400	GMYN	0.0965662	0.434891	0.222047	Pbre1_10G426600-Pbre1_05G452400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G017600-Pbre1_16G235800	GMYN	0.34175	0.910746	0.375241	Pbre1_09G017600-Pbre1_16G235800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_06G192200-Pbre1_12G099200	GMYN	0.303203	0.438711	0.691122	Pbre1_06G192200-Pbre1_12G099200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G105800-Pbre1_12G426000	GMYN	0.113249	0.69356	0.163287	Pbre1_09G105800-Pbre1_12G426000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_08G072200-Pbre1_08G072400	GMYN	0.11411	0.26348	0.433088	Pbre1_08G072200-Pbre1_08G072400.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_15G708200-Pbre1_07G424200	GMYN	0.356424	0.559741	0.636765	Pbre1_15G708200-Pbre1_07G424200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_06G390600-Pbre1_05G223000	GMYN	0.215015	0.362734	0.592761	Pbre1_06G390600-Pbre1_05G223000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_07G165000-Pbre1_05G118200	GMYN	0.13288	0.386003	0.344246	Pbre1_07G165000-Pbre1_05G118200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_01G418400-Pbre1_05G243800	GMYN	0.11762	0.245885	0.478356	Pbre1_01G418400-Pbre1_05G243800.cds_aln.axt.kaks	Conservation	TRD
Pbre1_15G599400-Pbre1_15G007000	GMYN	0.012704	0.0190709	0.666149	Pbre1_15G599400-Pbre1_15G007000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_02G485000-Pbre1_02G458800	GMYN	0.0777131	0.206451	0.376424	Pbre1_02G485000-Pbre1_02G458800.cds_aln.axt.kaks	Conservation	TRD
