duplication_type	parent	child	ancestor	TPC_Ks	TPCA_Ks	tPC_ratio	CLOUD_class	prob_Conservation	prob_Neofunctionalization_Parent	prob_Neofunctionalization_Child	prob_Subfunctionalization	prob_Specialization
TD	Pbre1_01G053000	Pbre1_01G053200	Prupe.6G168100.1	0.0194083	0.470626	0.041239328043924474	Conservation	0.798560390653652	4.798541415092995e-05	0.10953432396767585	0.0918556095010354	1.6904634859571931e-06
TD	Pbre1_01G108000	Pbre1_01G108200	Prupe.6G208400.1	0.65062	0.524092	1.2414232615647633	Neofunctionalization(Parent)	0.1667961584912732	0.8130124578477737	2.818034001115076e-07	0.018198109086966268	0.0019929927705868095
TD	Pbre1_01G113200	Pbre1_01G113400	Prupe.6G210700.1	0.0924655	0.258673	0.35746096422896867	Neofunctionalization(Child)	0.0011621014102105784	2.8983607779799055e-07	0.9927450292852736	0.005463049160042216	0.0006295303083957194
TD	Pbre1_01G113600	Pbre1_01G113800	Prupe.6G210900.1	0.75797	0.327271	2.316031667944914	Conservation	0.9998658241019304	1.1803410959032347e-06	1.4181769220995621e-06	0.0001305896798130614	9.877002386334838e-07
TD	Pbre1_01G115400	Pbre1_01G115600	Prupe.6G211700.1	1.9909	1.23681	1.6097056136350774	Neofunctionalization(Child)	1.5401323754893706e-08	5.507409013907541e-16	0.9999999533675661	3.119587802225756e-08	3.5231687994176496e-11
TD	Pbre1_01G135600	Pbre1_01G135800	Prupe.2G165900.1	0.496084	0.433861	1.1434169008046358	Conservation	0.9985812175231719	0.0006976466433815684	1.0860870689076997e-06	0.0004979591055606458	0.0002220906408170638
TD	Pbre1_01G152000	Pbre1_01G152200	Prupe.2G174300.1	0.21122	0.430252	0.49092159943474983	Conservation	0.9971821822642919	5.2715069322459446e-08	0.0027639683727981898	2.7792096786122297e-06	5.101743816203448e-05
TD	Pbre1_01G186000	Pbre1_01G186200	Prupe.2G195300.1	0.1451	1.21297	0.11962373348063018	Subfunctionalization	0.0010483623738563928	9.669509501268188e-06	0.3538532342053345	0.6177219567907399	0.027366777120567874
TD	Pbre1_01G188200	Pbre1_01G188400	Prupe.2G196600.1	0.11863	0.437633	0.2710718798628074	Neofunctionalization(Child)	0.003304526133882262	0.10445171372571302	0.877998108968283	0.009411518094555125	0.004834133077566665
TD	Pbre1_01G191200	Pbre1_01G191400	Prupe.2G198700.1	0.796516	1.24747	0.6385051343920094	Neofunctionalization(Parent)	0.021324314137345406	0.7723677459901969	0.027783668375942306	0.17767681458481852	0.0008474569116969489
TD	Pbre1_01G222000	Pbre1_01G222200	Prupe.2G214400.1	0.1646	0.422978	0.3891455347559447	Conservation	0.9654677799712339	0.032575764847015104	1.672391138282736e-05	0.0018492849615735912	9.044630879458943e-05
TD	Pbre1_01G227800	Pbre1_01G228000	Prupe.2G218000.1	0.0893181	0.549798	0.1624562111902917	Neofunctionalization(Child)	0.003346225517736655	0.0003613560320658857	0.9634488848572835	0.03101184345268041	0.0018316901402334969
TD	Pbre1_01G242200	Pbre1_01G242400	Prupe.2G227500.1	0.0409698	0.365534	0.11208204982299867	Neofunctionalization(Parent)	7.454550937348952e-09	0.8963955196022724	0.0026026430270081223	0.008681043052285106	0.09232078686388337
TD	Pbre1_01G249400	Pbre1_01G249600	Prupe.2G231700.1	0.505599	0.628337	0.8046621478601451	Neofunctionalization(Child)	7.676160956404188e-06	5.793156864533695e-10	0.9991463431736944	0.0006636704617585227	0.00018230962427485232
TD	Pbre1_01G253400	Pbre1_01G253600	Prupe.2G234200.1	0.0104126	1.16667	0.008925060214113673	Subfunctionalization	0.048347239078497924	0.178841084582879	0.00036641107989608473	0.73005407131027	0.04239119394845679
TD	Pbre1_01G260400	Pbre1_01G260600	Prupe.2G238700.1	0.117277	1.13664	0.10317866694819819	Neofunctionalization(Parent)	0.00033883186129160184	0.9971288096065734	2.8993377027947953e-09	0.0021585899134655847	0.0003737657193316133
TD	Pbre1_01G293600	Pbre1_01G293400	Prupe.2G256600.1	1.04528	0.970756	1.0767690336191587	Neofunctionalization(Parent)	0.00011009502579834678	0.9998872947599683	1.0973995337811245e-12	2.5924230052872325e-06	1.7790130821932788e-08
TD	Pbre1_01G294600	Pbre1_01G294800	Prupe.2G257400.1	0.207103	0.621666	0.33314191221652784	Subfunctionalization	0.000314171484395387	0.016382091022908385	0.002617768957168142	0.9794069264083368	0.0012790421271912985
TD	Pbre1_01G310800	Pbre1_01G311000	Prupe.2G265800.1	0.223515	0.335679	0.6658593477697443	Neofunctionalization(Child)	2.7186288427183985e-07	7.193415984702468e-14	0.9998302494762843	4.4610991773129965e-05	0.00012486766898623026
TD	Pbre1_01G336400	Pbre1_01G336600	Prupe.2G279700.1	0.13411	1.12687	0.11901106605020988	Conservation	0.6796840014066274	9.281432065023941e-07	0.3176153372118714	0.0020508735179556965	0.0006488597203389457
TD	Pbre1_01G342200	Pbre1_01G342400	Prupe.2G283100.1	0.0611801	0.256678	0.2383535012739697	Conservation	0.9755233564904879	1.8585679399914102e-07	0.02447373478317549	2.699841725470405e-06	2.3027817037351593e-08
TD	Pbre1_01G345000	Pbre1_01G345200	Prupe.2G285300.1	0.108689	0.616656	0.1762554811758906	Conservation	0.8008110191495392	0.06677422115094447	0.11142748985442535	0.005478709169498204	0.015508560675592649
TD	Pbre1_01G350400	Pbre1_01G350600	Prupe.2G287500.1	0.093708	0.351698	0.2664445063662574	Conservation	0.9770646979941867	1.5728049443588577e-06	0.0030357166738559983	0.01989787896158372	1.3356542921260073e-07
TD	Pbre1_01G364800	Pbre1_01G365000	Prupe.2G294100.1	0.12312	0.509278	0.2417540125432475	Conservation	0.9755287256833604	0.024458247676778774	3.5645149489732857e-09	1.2691049792927517e-05	3.3202555271648834e-07
TD	Pbre1_01G379000	Pbre1_01G379200	Prupe.2G301600.1	0.200168	0.312231	0.6410894497983866	Neofunctionalization(Child)	1.4823784000063385e-07	4.0043558089142215e-16	0.999873370121565	1.3725938317059695e-05	0.00011275570227781946
TD	Pbre1_01G380200	Pbre1_01G380400	Prupe.2G301900.1	0.51435	0.750284	0.6855404086985728	Conservation	0.4891752471652233	0.0003798573903892387	0.42271652996656117	0.02259484727987456	0.0651335181979516
TD	Pbre1_01G386400	Pbre1_01G386600	Prupe.2G304800.1	0.110075	1.0293	0.10694161080345865	Neofunctionalization(Child)	0.00036508096035034747	3.99983151494414e-09	0.9979429696510255	0.001691889670279153	5.5718513745547684e-08
TD	Pbre1_01G409600	Pbre1_01G409800	Prupe.2G316300.1	0.181301	0.35767	0.5068946235356614	Subfunctionalization	0.0012305702202584788	5.6247475336658484e-06	2.4585745127539246e-05	0.9987383982301413	8.210569389722372e-07
TD	Pbre1_01G415000	Pbre1_01G415200	Prupe.2G319700.1	0.294484	0.899171	0.3275061139649744	Conservation	0.9964604770982308	3.456393682881068e-05	0.0033944509938874964	8.922378145996421e-05	2.1284189593160997e-05
TD	Pbre1_01G415600	Pbre1_01G415800	Prupe.2G319900.1	0.289342	0.245847	1.1769189780635922	Subfunctionalization	0.19456159167947631	0.2154470114869742	0.002016974388157046	0.41920530298425596	0.1687691194611366
TD	Pbre1_01G418000	Pbre1_01G418200	Prupe.2G321300.1	0.0808899	1.18973	0.06799013221487228	Neofunctionalization(Child)	0.005083939595160629	0.0007724422686278893	0.9941280194030973	6.994027122084082e-06	8.604705992312353e-06
TD	Pbre1_01G423000	Pbre1_01G423200	Prupe.2G323600.1	0.190114	0.455742	0.4171526872660409	Neofunctionalization(Parent)	8.652835853530675e-05	0.9987477391026216	0.0003617073299213437	0.0008000587519391667	3.966456982595205e-06
TD	Pbre1_01G425600	Pbre1_01G425800	Prupe.2G325000.1	0.527392	1.10697	0.4764284488287849	Subfunctionalization	0.2598983592962845	0.0013249037235703986	0.2172016677246481	0.5206682463050734	0.0009068229504236336
TD	Pbre1_01G426000	Pbre1_01G426200	Prupe.2G325200.1	0.184742	0.499011	0.3702162878173026	Neofunctionalization(Parent)	0.01578098261811155	0.9417371162151094	9.134569047155244e-05	0.04024635939994204	0.0021441960763654527
TD	Pbre1_02G022800	Pbre1_02G023000	Prupe.7G260600.1	0.350167	0.497847	0.703362679698783	Subfunctionalization	9.57385250226863e-08	0.006721949285720809	0.04630080053696728	0.666055594216546	0.280921560222241
TD	Pbre1_02G044200	Pbre1_02G044400	Prupe.7G250300.1	0.206467	0.388961	0.530816714272125	Subfunctionalization	9.380090677112325e-17	5.361025299775644e-06	5.242244045925675e-08	0.9893676652016256	0.010626921350634054
TD	Pbre1_02G047200	Pbre1_02G047400	Prupe.7G249000.1	0.403457	0.305805	1.3193276761334838	Neofunctionalization(Child)	0.005584245634870861	3.852788040357865e-06	0.8710695874877757	0.12213025697610994	0.0012120571132031176
TD	Pbre1_02G054600	Pbre1_02G054800	Prupe.7G245600.1	0.477712	0.348541	1.3706048929681158	Subfunctionalization	0.2716650506814443	0.038608765426086704	0.002272340201806586	0.5746111233897611	0.11284272030090128
TD	Pbre1_02G067000	Pbre1_02G067200	Prupe.7G239200.1	0.274297	0.163953	1.6730221465907915	Neofunctionalization(Parent)	0.13310075456835788	0.8543365287629274	1.0257399518725318e-06	0.012485093232194319	7.659769656857272e-05
TD	Pbre1_02G078800	Pbre1_02G079000	Prupe.7G233700.1	0.0727108	0.313571	0.23187986133921826	Subfunctionalization	0.003953084926994846	0.0022719750976361633	0.007540561335761398	0.9862343786384161	1.1914369597715788e-12
TD	Pbre1_02G084800	Pbre1_02G085000	Prupe.7G230700.1	0.718954	0.352642	2.0387645260632596	Neofunctionalization(Child)	4.059524755030695e-06	1.1600860289332491e-12	0.9999897951188206	3.1102954351729516e-06	3.0350598292545197e-06
TD	Pbre1_02G087800	Pbre1_02G088000	Prupe.7G229100.1	0.168144	0.42877	0.3921543018401474	Specialization	9.647629753920534e-21	5.879453576430277e-30	0.22281280967590728	0.0012625347236125285	0.7759246556004803
TD	Pbre1_02G096600	Pbre1_02G096800	Prupe.7G224300.1	0.565178	0.564186	1.0017582853881521	Specialization	0.00718834522319339	0.2883518623221848	3.8438277571601676e-05	0.00029323368548366403	0.7041281204915665
TD	Pbre1_02G122200	Pbre1_02G122400	Prupe.7G211000.1	0.783738	0.936494	0.8368852336480532	Subfunctionalization	0.37716806729747265	0.012129579419620874	0.11670848385809905	0.49399384077563246	2.864917493041631e-08
TD	Pbre1_02G126600	Pbre1_02G126800	Prupe.7G208200.1	0.383763	0.345211	1.111676626758707	Subfunctionalization	0.009359659465895391	0.4127468722386429	0.0016346099572994936	0.5760163628968029	0.00024249544135918346
TD	Pbre1_02G131000	Pbre1_02G131200	Prupe.7G205500.1	0.229843	0.772773	0.29742628171532903	Subfunctionalization	0.0005912794686798643	4.0535425458965846e-05	9.210341560047977e-05	0.9992758586168194	2.2307344138765385e-07
TD	Pbre1_02G148000	Pbre1_02G148200	Prupe.7G195700.1	0.211506	0.608044	0.34784653742163396	Subfunctionalization	4.565150339727861e-16	8.42120531329789e-16	4.475671525534369e-22	0.9999999999999987	1.6427895453102663e-26
TD	Pbre1_02G155200	Pbre1_02G155400	Prupe.7G192300.1	0.0971282	0.722461	0.13444075181912932	Subfunctionalization	0.05232703192157682	0.0022369985442383853	0.0006548285959740017	0.9447739956519217	7.1452862890535695e-06
