duplication_type	parent	child	ancestor	TPC_Ks	TPCA_Ks	tPC_ratio	CLOUD_class	prob_Conservation	prob_Neofunctionalization_Parent	prob_Neofunctionalization_Child	prob_Subfunctionalization	prob_Specialization	assigned_class_probability	class_label
TD	Pbre1_01G053000	Pbre1_01G053200	Prupe.6G168100.1	0.0194083	0.470626	0.0412393280439244	Conservation	0.798560390653652	4.798541415092995e-05	0.1095343239676758	0.0918556095010354	1.6904634859571931e-06	0.798560390653652	Con
TD	Pbre1_01G108000	Pbre1_01G108200	Prupe.6G208400.1	0.65062	0.524092	1.2414232615647631	Neofunctionalization(Parent)	0.1667961584912732	0.8130124578477737	2.818034001115076e-07	0.0181981090869662	0.0019929927705868	0.8130124578477737	Neo(P)
TD	Pbre1_01G113200	Pbre1_01G113400	Prupe.6G210700.1	0.0924655	0.258673	0.3574609642289686	Neofunctionalization(Child)	0.0011621014102105	2.8983607779799055e-07	0.9927450292852736	0.0054630491600422	0.0006295303083957	0.9927450292852736	Neo(C)
TD	Pbre1_01G113600	Pbre1_01G113800	Prupe.6G210900.1	0.75797	0.327271	2.316031667944914	Conservation	0.9998658241019304	1.180341095903235e-06	1.418176922099562e-06	0.000130589679813	9.877002386334838e-07	0.9998658241019304	Con
TD	Pbre1_01G115400	Pbre1_01G115600	Prupe.6G211700.1	1.9909	1.23681	1.6097056136350774	Neofunctionalization(Child)	1.5401323754893706e-08	5.507409013907541e-16	0.999999953367566	3.119587802225756e-08	3.5231687994176496e-11	0.999999953367566	Neo(C)
TD	Pbre1_01G135600	Pbre1_01G135800	Prupe.2G165900.1	0.496084	0.433861	1.1434169008046358	Conservation	0.998581217523172	0.0006976466433815	1.0860870689076995e-06	0.0004979591055606	0.000222090640817	0.998581217523172	Con
TD	Pbre1_01G152000	Pbre1_01G152200	Prupe.2G174300.1	0.21122	0.430252	0.4909215994347498	Conservation	0.997182182264292	5.2715069322459446e-08	0.0027639683727981	2.7792096786122297e-06	5.101743816203448e-05	0.997182182264292	Con
TD	Pbre1_01G186000	Pbre1_01G186200	Prupe.2G195300.1	0.1451	1.21297	0.1196237334806301	Subfunctionalization	0.0010483623738563	9.669509501268188e-06	0.3538532342053345	0.6177219567907399	0.0273667771205678	0.6177219567907399	Sub
TD	Pbre1_01G188200	Pbre1_01G188400	Prupe.2G196600.1	0.11863	0.437633	0.2710718798628074	Neofunctionalization(Child)	0.0033045261338822	0.104451713725713	0.877998108968283	0.0094115180945551	0.0048341330775666	0.877998108968283	Neo(C)
TD	Pbre1_01G191200	Pbre1_01G191400	Prupe.2G198700.1	0.796516	1.24747	0.6385051343920094	Neofunctionalization(Parent)	0.0213243141373454	0.7723677459901969	0.0277836683759423	0.1776768145848185	0.0008474569116969	0.7723677459901969	Neo(P)
TD	Pbre1_01G222000	Pbre1_01G222200	Prupe.2G214400.1	0.1646	0.422978	0.3891455347559447	Conservation	0.965467779971234	0.0325757648470151	1.672391138282736e-05	0.0018492849615735	9.044630879458943e-05	0.965467779971234	Con
TD	Pbre1_01G227800	Pbre1_01G228000	Prupe.2G218000.1	0.0893181	0.549798	0.1624562111902917	Neofunctionalization(Child)	0.0033462255177366	0.0003613560320658	0.9634488848572836	0.0310118434526804	0.0018316901402334	0.9634488848572836	Neo(C)
TD	Pbre1_01G242200	Pbre1_01G242400	Prupe.2G227500.1	0.0409698	0.365534	0.1120820498229986	Neofunctionalization(Parent)	7.454550937348952e-09	0.8963955196022724	0.0026026430270081	0.0086810430522851	0.0923207868638833	0.8963955196022724	Neo(P)
TD	Pbre1_01G249400	Pbre1_01G249600	Prupe.2G231700.1	0.505599	0.628337	0.8046621478601451	Neofunctionalization(Child)	7.676160956404188e-06	5.793156864533694e-10	0.9991463431736944	0.0006636704617585	0.0001823096242748	0.9991463431736944	Neo(C)
TD	Pbre1_01G253400	Pbre1_01G253600	Prupe.2G234200.1	0.0104126	1.16667	0.0089250602141136	Subfunctionalization	0.0483472390784979	0.178841084582879	0.000366411079896	0.73005407131027	0.0423911939484567	0.73005407131027	Sub
TD	Pbre1_01G260400	Pbre1_01G260600	Prupe.2G238700.1	0.117277	1.13664	0.1031786669481981	Neofunctionalization(Parent)	0.0003388318612916	0.9971288096065734	2.8993377027947953e-09	0.0021585899134655	0.0003737657193316	0.9971288096065734	Neo(P)
TD	Pbre1_01G293600	Pbre1_01G293400	Prupe.2G256600.1	1.04528	0.970756	1.0767690336191589	Neofunctionalization(Parent)	0.0001100950257983	0.9998872947599684	1.0973995337811245e-12	2.5924230052872325e-06	1.7790130821932788e-08	0.9998872947599684	Neo(P)
TD	Pbre1_01G294600	Pbre1_01G294800	Prupe.2G257400.1	0.207103	0.621666	0.3331419122165278	Subfunctionalization	0.0003141714843953	0.0163820910229083	0.0026177689571681	0.9794069264083368	0.0012790421271912	0.9794069264083368	Sub
