duplication_type	pair_age	gene1	gene2	Ks
TD	young	Pbre1_15G279400	Pbre1_15G279600	0.0350292
PD	young	Pbre1_13G069600	Pbre1_13G070400	0.062389
TD	old	Pbre1_12G294600	Pbre1_12G294800	0.150119
TRD	old	Pbre1_08G192000	Pbre1_14G292600	0.425775
TRD	old	Pbre1_14G452000	Pbre1_06G415400	0.136715
PD	young	Pbre1_08G030800	Pbre1_08G031600	0.0327149
PD	old	Pbre1_05G263200	Pbre1_05G264000	0.258202
PD	old	Pbre1_10G296600	Pbre1_10G297600	0.0971168
TD	old	Pbre1_16G201200	Pbre1_16G201400	0.133951
PD	old	Pbre1_14G212400	Pbre1_14G212800	0.459492
PD	old	Pbre1_16G325600	Pbre1_16G326000	0.205079
PD	old	Pbre1_11G113000	Pbre1_11G113600	0.144274
TD	young	Pbre1_10G402800	Pbre1_10G403000	0.107813
TD	old	Pbre1_09G211400	Pbre1_09G211600	0.117842
TRD	old	Pbre1_10G426600	Pbre1_05G452400	0.434891
PD	old	Pbre1_02G233800	Pbre1_02G234200	0.193404
TRD	old	Pbre1_06G192200	Pbre1_12G099200	0.438711
TRD	old	Pbre1_08G231200	Pbre1_05G497000	0.445962
TRD	old	Pbre1_07G246600	Pbre1_01G166000	0.33105
TRD	old	Pbre1_08G132800	Pbre1_08G254600	0.0975057
PD	old	Pbre1_02G126800	Pbre1_02G127600	0.465855
TD	young	Pbre1_03G089400	Pbre1_03G089600	0.0411244
TD	old	Pbre1_03G039000	Pbre1_03G039200	0.345653
TRD	old	Pbre1_12G006200	Pbre1_14G004400	0.212564
PD	old	Pbre1_04G334000	Pbre1_04G334400	0.416435
TRD	old	Pbre1_03G244000	Pbre1_11G264600	0.230965
TD	old	Pbre1_08G072200	Pbre1_08G072400	0.26348
TRD	old	Pbre1_09G215400	Pbre1_09G164600	0.170375
TRD	old	Pbre1_15G657600	Pbre1_11G466800	0.468695
PD	young	Pbre1_04G342400	Pbre1_04G342800	0.0576036
PD	young	Pbre1_02G377200	Pbre1_02G378000	0.0268975
TRD	old	Pbre1_16G024600	Pbre1_13G000800	0.1374
TRD	old	Pbre1_04G186600	Pbre1_12G220600	0.240031
TD	old	Pbre1_03G346800	Pbre1_03G347000	0.191872
TRD	old	Pbre1_07G142200	Pbre1_09G439400	0.425165
TRD	old	Pbre1_05G212600	Pbre1_10G213200	0.217025
TRD	old	Pbre1_06G390600	Pbre1_05G223000	0.362734
TRD	old	Pbre1_07G165000	Pbre1_05G118200	0.386003
TRD	old	Pbre1_15G426400	Pbre1_09G040200	0.257987
TRD	old	Pbre1_01G418400	Pbre1_05G243800	0.245885
TD	old	Pbre1_17G472000	Pbre1_17G472200	0.141913
TRD	old	Pbre1_15G564200	Pbre1_12G418000	0.235707
TRD	young	Pbre1_15G599400	Pbre1_15G007000	0.0190709
TD	old	Pbre1_11G448200	Pbre1_11G448400	0.0513031
TRD	old	Pbre1_02G485000	Pbre1_02G458800	0.206451
PD	old	Pbre1_01G368600	Pbre1_01G369200	0.269168
TRD	old	Pbre1_06G025600	Pbre1_09G018800	0.329115
PD	young	Pbre1_10G378200	Pbre1_10G378600	0.0228815
PD	young	Pbre1_17G215400	Pbre1_17G217000	0.0311138
TD	young	Pbre1_06G295600	Pbre1_06G295800	0.0982064
PD	old	Pbre1_17G445000	Pbre1_17G445400	0.19121
TD	young	Pbre1_05G560200	Pbre1_05G560400	0.0758756
TD	young	Pbre1_11G381600	Pbre1_11G381800	0.0035067
