chrom	start	end	size_kb	sample
Chr10	170000	220000	50.0	rep1
Chr10	220000	590000	370.0	rep1
Chr10	590000	700000	110.0	rep1
Chr10	700000	850000	150.0	rep1
Chr10	850000	960000	110.0	rep1
Chr10	960000	1040000	80.0	rep1
Chr10	1040000	1300000	260.0	rep1
Chr10	1300000	1510000	210.0	rep1
Chr10	1510000	1790000	280.0	rep1
Chr10	1790000	1850000	60.0	rep1
Chr10	1850000	2100000	250.0	rep1
Chr10	2100000	2150000	50.0	rep1
Chr10	2150000	2230000	80.0	rep1
Chr10	2230000	2340000	110.0	rep1
Chr10	2340000	2400000	60.0	rep1
Chr10	2400000	2550000	150.0	rep1
Chr10	2550000	2630000	80.0	rep1
Chr10	2630000	2730000	100.0	rep1
Chr10	2730000	2830000	100.0	rep1
Chr10	2830000	3220000	390.0	rep1
Chr10	3220000	3640000	420.0	rep1
Chr10	3640000	3820000	180.0	rep1
Chr10	3820000	3870000	50.0	rep1
Chr10	3870000	3940000	70.0	rep1
Chr10	3940000	4010000	70.0	rep1
Chr10	4010000	4070000	60.0	rep1
Chr10	4070000	4180000	110.0	rep1
Chr10	4180000	4270000	90.0	rep1
Chr10	4270000	4360000	90.0	rep1
Chr10	4360000	4460000	100.0	rep1
Chr10	4460000	4660000	200.0	rep1
Chr10	4660000	4740000	80.0	rep1
Chr10	4740000	4830000	90.0	rep1
Chr10	4830000	4900000	70.0	rep1
Chr10	4900000	4960000	60.0	rep1
Chr10	4960000	5330000	370.0	rep1
Chr10	5330000	5390000	60.0	rep1
Chr10	5390000	5470000	80.0	rep1
Chr10	5470000	5610000	140.0	rep1
Chr10	5610000	5720000	110.0	rep1
Chr10	5720000	5810000	90.0	rep1
Chr10	5810000	6310000	500.0	rep1
Chr10	6310000	6370000	60.0	rep1
Chr10	6370000	6540000	170.0	rep1
Chr10	6540000	6660000	120.0	rep1
Chr10	6660000	6820000	160.0	rep1
Chr10	6820000	6890000	70.0	rep1
Chr10	6890000	7140000	250.0	rep1
Chr10	7140000	7180000	40.0	rep1
Chr10	7180000	7290000	110.0	rep1
Chr10	7290000	7420000	130.0	rep1
Chr10	7420000	7480000	60.0	rep1
Chr10	7480000	7920000	440.0	rep1
Chr10	7920000	8020000	100.0	rep1
Chr10	8020000	8100000	80.0	rep1
Chr10	8100000	8240000	140.0	rep1
Chr10	8240000	8310000	70.0	rep1
Chr10	8310000	8500000	190.0	rep1
Chr10	8500000	8600000	100.0	rep1
Chr10	8600000	8940000	340.0	rep1
Chr10	8940000	9010000	70.0	rep1
Chr10	9010000	9060000	50.0	rep1
Chr10	9060000	9120000	60.0	rep1
Chr10	9120000	9270000	150.0	rep1
Chr10	9270000	9340000	70.0	rep1
Chr10	9340000	9430000	90.0	rep1
Chr10	9430000	9530000	100.0	rep1
Chr10	9530000	9730000	200.0	rep1
Chr10	9730000	9800000	70.0	rep1
Chr10	9800000	9970000	170.0	rep1
Chr10	9970000	10060000	90.0	rep1
Chr10	10060000	10350000	290.0	rep1
Chr10	10350000	10450000	100.0	rep1
Chr10	10450000	12580000	2130.0	rep1
Chr10	12580000	12890000	310.0	rep1
Chr10	12890000	13140000	250.0	rep1
Chr10	13140000	13250000	110.0	rep1
Chr10	13250000	13350000	100.0	rep1
Chr10	13350000	13420000	70.0	rep1
Chr10	13420000	13460000	40.0	rep1
Chr10	13460000	13740000	280.0	rep1
Chr10	13740000	13800000	60.0	rep1
Chr10	13800000	13880000	80.0	rep1
Chr10	13880000	14020000	140.0	rep1
Chr10	14020000	14160000	140.0	rep1
Chr10	14160000	14320000	160.0	rep1
Chr10	14320000	14450000	130.0	rep1
Chr10	14450000	14560000	110.0	rep1
Chr10	14560000	14620000	60.0	rep1
Chr10	14620000	14690000	70.0	rep1
Chr10	14690000	14830000	140.0	rep1
Chr10	14830000	14980000	150.0	rep1
